generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9811545927695794,0.0031210436131073383,0.009557460646795263,0.0,5000,3124,1.0,8,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5013001458173598,0.5032053037744351,0.5060891718986358,0.4980991303468083,0.08390485479669786,0.08134312203855797,0.08384795205779144,0.08245366073230309
1,0.9194522246890862,0.307622871797244,0.018985237171228832,0.0,5000,3139,1.0,6,0,1.0,1.0,1.0,1.0,0.31093199841376257,-0.017334833721799097,0.0026127089320905302,-0.0006985018090625615,0.4899329725797447,0.5059953248204304,0.500118075187971,0.5001713256158132,0.08075294036803887,0.08043576338913991,0.08328448257786512,0.08172382677315176
2,0.7892834249896259,0.6109029689892246,0.02802858212992068,0.0,5000,3167,1.0,5,0,1.0,1.0,1.0,1.0,0.6318362320303504,-0.030456368257492105,0.023934279028214718,-0.0009028969915920522,0.48935789626496945,0.5071067157713787,0.4947757791720194,0.49347482261798414,0.08084079826736344,0.08082556954871835,0.08505040371062443,0.08101782231534119
3,0.6616849071906336,0.8469889485657506,0.031825259699290946,0.0,5000,3150,1.0,8,0,1.0,1.0,1.0,1.0,0.9443642877531268,-0.03433087741912564,0.007328468606842543,-0.0027923785284851128,0.49391276758138747,0.5190387178090173,0.49335974557232776,0.4877638944543641,0.08191959774790947,0.08180785653385798,0.0831942411663187,0.08314298436223817
4,0.5967094995856994,0.9603096206963871,0.0313075320560454,0.0,5000,3149,1.0,6,0,1.0,1.0,1.0,1.0,1.2506952669924618,-0.03515931394236286,0.010132438982101546,-0.002200776913903716,0.49684767493553084,0.5187007990971231,0.4866009321187806,0.48514765166905327,0.08769699970650334,0.07992717167201689,0.08191835489829039,0.08537123278236895
5,0.5736905409152017,1.0036562910033462,0.02867205164308924,0.0,5000,3146,1.0,6,0,1.0,1.0,1.0,1.0,1.5720988809103564,-0.02686965250124329,0.013059372376101212,-0.0011378258737527458,0.5143540341536383,0.48795177191822103,0.4699540340363906,0.4811486074722876,0.08913586441784063,0.07898478433817196,0.08360511321655065,0.08806704662097588
6,0.5596391850504148,1.0306651443024604,0.026424683141764535,0.0,5000,3147,1.0,6,0,1.0,1.0,1.0,1.0,1.8711112003722619,-0.0016946485202067804,0.0066156355391008784,-0.008603283528473785,0.5380731630770237,0.4271282881382333,0.4455780837314918,0.5032583349612492,0.07449589399454104,0.08307165120116249,0.07882002004815455,0.09391907316958381
7,0.5356531733279956,1.0751569326650643,0.023901014830508438,0.0,5000,3182,1.0,6,0,1.0,1.0,1.0,1.0,2.184344040299809,0.001770658081994178,-0.0024522029448681305,0.008268685255961718,0.5390248057212156,0.418601128491694,0.37162672758209225,0.5192071000749662,0.06521879439912946,0.0788731134330795,0.06973185050800894,0.08948384798585876
8,0.5271716956988223,1.1018656913244675,0.017009829761329788,0.0,5000,3210,1.0,5,0,1.0,1.0,1.0,1.0,2.5055088784711477,0.0015363464166616029,0.012926789923770363,-0.008119434698602015,0.5167573990303366,0.4525081488955879,0.38668598459611786,0.5363433224136854,0.06610259302244538,0.0962551785108819,0.06542292410331746,0.06763666106517918
9,0.5193113646726624,1.1121268682013903,0.018736936989829173,0.0,5000,3147,1.0,8,0,1.0,1.0,1.0,1.0,2.807937674287413,-0.0037149827251558767,-0.0018105807311867075,-0.01691888362322048,0.5754251128570508,0.4149374227179431,0.48933807639397153,0.4891680472450417,0.04846635072453133,0.10230092666537838,0.06889998847800025,0.05831434217425626
10,0.5110108138856116,1.1152156994877334,0.02481999361834003,0.0,5000,3179,1.0,7,0,1.0,1.0,1.0,1.0,3.141310707736254,0.006687664743006867,0.009050430841891723,-0.006147819577600824,0.5359468603236627,0.4108758455082967,0.3390999532859536,0.6709337073012728,0.04263873100644928,0.09384524815815833,0.050543450823469456,0.07249322552909379
11,0.5223726230365568,1.0985824480863013,0.02334435810482891,0.0,5000,3151,1.0,6,0,1.0,1.0,1.0,1.0,3.4514736175837504,0.0069355515337498905,0.011615688351904841,0.019267807228228802,0.46535616995501977,0.41142064823515295,0.24758664124741667,0.7086213018222179,0.04892996671556483,0.08823319480353063,0.02261963812352893,0.06217338639764873
12,0.5188093828070036,1.111116249452996,0.0197002260683592,0.0,5000,3147,1.0,7,0,1.0,1.0,1.0,1.0,3.7572500856852673,0.0022021333998806705,0.000645462392529798,0.0370660438937678,0.46139621505350287,0.36586292248668606,0.22524746041223007,0.7860836740373537,0.03305366065305483,0.08170949700263881,0.013665312387978358,0.04873998279964767
13,0.5204417075561655,1.0991189239808727,0.024647939906822354,0.0,5000,3144,1.0,7,0,1.0,1.0,1.0,1.0,4.07479788795911,-0.008316019888943564,-0.009173928218327663,0.04533790163978533,0.35121080803921806,0.5247090599690045,0.17164183706391675,0.7350795228133961,0.030894751676768795,0.10516816314418306,0.0019456021132947256,0.0389433812784438
14,0.5272942576298094,1.0940873927103467,0.021406150828812535,0.0,5000,3151,1.0,5,0,1.0,1.0,1.0,1.0,4.389676909875545,0.0003150911963705899,-0.0036613207052282257,0.042536838582191316,0.27146113599950084,0.6718483633774044,0.15162877390315085,0.645542349485718,0.022748095514099773,0.07743630521053656,0.0014325650896536563,0.02867437700203606
15,0.5292767608770756,1.1130399800819712,0.008839212846702358,0.0,5000,3159,1.0,7,0,1.0,1.0,1.0,1.0,4.697599266319184,0.010057322164829996,-0.028263703141870905,0.03896248335746468,0.1930500185258174,0.8165180141667763,0.1319516190463157,0.5575080085725326,0.0023366122668986057,0.007954011822489003,0.00014714854522833622,0.0029453411168903587
16,0.523738847169966,1.117191712282264,0.011734943355712629,0.0,5000,3150,1.0,7,0,1.0,1.0,1.0,1.0,4.9906741280242,0.014667258578887482,-0.02298624875776073,0.04020395415178431,0.20086999520109058,0.802090043602876,0.13391403071667424,0.5662877137309917,0.004924279918637301,0.016762635908811132,0.0003101073449752727,0.006207141989668633
17,0.5277972647034576,1.1118369482402632,0.010985941365259048,0.0,5000,3133,1.0,6,0,1.0,1.0,1.0,1.0,5.301078075184816,0.005517363905804524,-0.022913348361785494,0.023660024708963428,0.2644865622080412,0.6847165533398002,0.14987851484580395,0.637711801641687,0.021430758282440943,0.0729519857266296,0.0013496055589007885,0.027013850106678422
18,0.5229455968114384,1.11814470098962,0.011836240893823617,0.0,5000,3188,1.0,8,0,1.0,1.0,1.0,1.0,5.610996275198492,-0.006035824629415206,-0.00944602084584265,0.028514254807910623,0.19741793342551955,0.8084591477256786,0.1330477408802092,0.5624119880304087,0.003797054492546144,0.01292547195450506,0.00023912013672366866,0.00478625438991507
19,0.5230854991502156,1.1190624870040964,0.011444237157948711,0.0,5000,3093,1.0,6,0,1.0,1.0,1.0,1.0,5.913141375591861,-0.00911366340468196,-0.0029062843346013964,0.019403856533278502,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
20,0.5229630035380486,1.1186966581420859,0.011630068857069256,0.0,5000,3127,1.0,7,0,1.0,1.0,1.0,1.0,6.205713484755694,-0.011879681231470004,-0.0030319768607982283,0.01380397253742004,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
21,0.5236669534694822,1.1157350528317012,0.012457862530130814,0.0,5000,3189,1.0,6,0,1.0,1.0,1.0,1.0,6.504159752554471,-0.019287290524672873,-0.023247717750782992,0.013796011085059694,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
22,0.5174250707088982,1.1265986606791878,0.012405679395956423,0.0,5000,3157,1.0,7,0,1.0,1.0,1.0,1.0,6.814438617073173,-0.012112643181055273,-0.0054807410526086404,0.01507850685368184,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
23,0.5167937409085349,1.1257436693022407,0.01342866586476392,0.0,5000,3157,1.0,7,0,1.0,1.0,1.0,1.0,7.132473833854121,-0.011888242592451595,0.00806796946086375,0.009017150603151707,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
24,0.515003781651548,1.1106155481196653,0.023521898271575834,0.0,5000,3187,1.0,6,0,1.0,1.0,1.0,1.0,7.43008164764175,-0.022691383451324487,-0.008841195013110101,0.0023578920477957113,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
25,0.5174379335462183,1.1198051103070525,0.016198708587999308,0.0,5000,3158,1.0,7,0,1.0,1.0,1.0,1.0,7.730046021831343,-0.02464922711255261,-0.017718429131123994,0.007049552918353831,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
26,0.5189947321744427,1.1175353914501291,0.015975649469260247,0.0,5000,3166,1.0,6,0,1.0,1.0,1.0,1.0,8.032345972412836,-0.0315697129797446,-0.03234338518710924,-0.00445560218150798,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
27,0.5348326515132333,1.1019566256050672,0.009705062080665676,0.0,5000,3179,1.0,6,0,1.0,1.0,1.0,1.0,8.35945489269776,-0.02804064318427859,-0.03579969348877118,0.000588481702764587,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
28,0.5222142827547537,1.1218276509083205,0.010568293101181785,0.0,5000,3117,1.0,7,0,1.0,1.0,1.0,1.0,8.671442409585818,-0.02615536989372362,-0.03450311104798547,0.006848721666646655,0.1862867954553108,0.8289962589787979,0.13025439814222176,0.5499147500571082,9.116273835960318e-29,1.3422961340401279e-27,1.3019286424057714e-31,6.865062027685855e-28
