generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9807158354669325,0.001429825579022298,0.009783618988347209,0.0,5000,3136,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4982161864022542,0.5036124116936854,0.48976989862103126,0.5070796961010514,0.0815188623932971,0.083541551657559,0.0835574635950273,0.08482215426770551
1,0.9228379793299849,0.2953214200420908,0.018883146750511996,0.0,5000,3165,1.0,6,0,1.0,1.0,1.0,1.0,0.30520594916400423,0.0019071020091785981,0.017175121591020463,-0.010356469591968176,0.4931034227428243,0.4973138692229184,0.479842697522063,0.5037156391563443,0.08117224270221304,0.08118617484153813,0.08421686403679922,0.083279999705003
2,0.8054516350315606,0.5768943109120805,0.027568804628270622,0.0,5000,3214,1.0,7,0,1.0,1.0,1.0,1.0,0.6036869892186978,0.014867713476354474,0.019016906755951413,-0.0002248781230043389,0.5001550455129925,0.5097035850526898,0.477583347169823,0.5085258689934911,0.08288885679625965,0.08110502145316659,0.0861972281060888,0.08360419019136738
3,0.6751038355331642,0.8211804329626359,0.032506934468179954,0.0,5000,3131,1.0,6,0,1.0,1.0,1.0,1.0,0.9068704371868815,0.007521734658914793,-0.00241024534636549,0.008296526151763248,0.5119690203481183,0.5046732825455299,0.4795478650337839,0.5131373881309471,0.08340949886885904,0.08086597942875688,0.08637196016959552,0.08217138910048868
4,0.6025949326972307,0.9458139563785354,0.03337648385792458,0.0,5000,3139,1.0,6,0,1.0,1.0,1.0,1.0,1.2174055453599961,0.00944074398326498,-0.009550720522793281,0.005870319474662909,0.5203040521339087,0.5178804805217245,0.47851040565683933,0.4941102123175301,0.08350051996272029,0.08374151741074495,0.0851864707323757,0.08595729415026389
5,0.5763495805827493,0.9855127576245385,0.035695240921107096,0.0,5000,3178,1.0,5,0,1.0,1.0,1.0,1.0,1.5210913909380372,-0.0033428995078133364,-0.013316675679360391,-0.002081579003753568,0.5140724664630439,0.533046685264549,0.4822267358179477,0.5055573900955904,0.0713362236755871,0.08632362826497582,0.08187840415394251,0.09228382779089164
6,0.5671707304411128,0.9977967948394463,0.03718311830608176,0.0,5000,3142,1.0,7,0,1.0,1.0,1.0,1.0,1.830324320439948,-0.030080631722098513,0.0037397535561592525,-0.007712836129044562,0.5249706291368671,0.5874205952923496,0.39275172674995323,0.566034788509015,0.05653181620775163,0.08605717201362431,0.0721871342494442,0.10340529116952207
7,0.5525574477711191,1.0244762829959346,0.035527799729960965,0.0,5000,3167,1.0,7,0,1.0,1.0,1.0,1.0,2.128801866323486,-0.013741357299108335,0.00797110284492763,-0.010710481180564953,0.5975760545086332,0.5095468240549793,0.3158705149827399,0.6425249009319804,0.04175719445459196,0.08886220978962227,0.047930369815188084,0.09099138583957887
8,0.5321030144317217,1.061359917876501,0.034486115535379974,0.0,5000,3161,1.0,6,0,1.0,1.0,1.0,1.0,2.439801432855398,-0.004574331488566277,0.009042035347002483,-0.009056285658754553,0.6122821218970268,0.5352112481710694,0.2881405188139486,0.6547089997979457,0.02995896506688622,0.06730261884054699,0.03309386284001064,0.08984916257008102
9,0.5234374000425381,1.079479536878534,0.032620075469753304,0.0,5000,3151,1.0,7,0,1.0,1.0,1.0,1.0,2.760119308259375,0.0015689763832161426,0.015980898361012963,-0.010086466386699163,0.5420839574729464,0.7336296571580642,0.3064604729134142,0.5617169836292606,0.023009964124713143,0.045865651830408784,0.03821240803215143,0.14383949498893572
