generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9810370595016664,0.0033166810586671234,0.009617308400296799,0.0,5000,3154,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.502040464696474,0.4969670321646997,0.5135225793298126,0.5044997936595546,0.08560184861565347,0.08581137587967994,0.08400831722346948,0.08311792471706823
1,0.9166538704495837,0.31461753637348594,0.01939530073413298,0.0,5000,3156,1.0,6,0,1.0,1.0,1.0,1.0,0.3206416055964429,0.008834108513130686,-0.002685082392438615,0.0001480207430795768,0.49880823262158563,0.5095459674929687,0.5110922943162223,0.49820897508607104,0.08359034965114029,0.08842115933662162,0.0832636138016511,0.0808203322483112
2,0.7881825613948726,0.611260225510945,0.028490138153200603,0.0,5000,3157,1.0,7,0,1.0,1.0,1.0,1.0,0.641103803250416,-0.0034276129306102226,-0.0010859088082853928,-0.005580761991049075,0.4965492070430254,0.5093171851804277,0.5119359238795188,0.49790509811014105,0.08288757850569985,0.08881682597247946,0.08430374789313554,0.08153622943947836
3,0.6571484145438204,0.8498047977642808,0.03423373534333616,0.0,5000,3154,1.0,7,0,1.0,1.0,1.0,1.0,0.9500885576043092,-0.002281473254049839,0.0013190712779012732,0.003287868506150854,0.5038462329806882,0.5140414224107681,0.5078306858871976,0.493121898849712,0.08369537152895128,0.08798292835756208,0.08640557717643532,0.08190790572608515
4,0.5954468956720556,0.9539099870777151,0.035735094256403026,0.0,5000,3152,1.0,6,0,1.0,1.0,1.0,1.0,1.2631079751932357,0.0015650901194053748,-0.014509738379855482,0.00045161917918803886,0.5119926533544535,0.5230568697023792,0.515318877184511,0.48642112182633573,0.08051033484375776,0.08758115777398835,0.09032466731364884,0.08129412032831192
5,0.5794321360754969,0.9850859823925082,0.03365185256603917,0.0,5000,3199,1.0,6,0,1.0,1.0,1.0,1.0,1.5636660322171383,0.010168355956111205,-0.026618466955346913,0.0006209829069751692,0.5414817531323535,0.5678646809922226,0.5131488193538906,0.4797559273992009,0.07829577223548889,0.08092989336783928,0.08801128764432646,0.08615183433443807
6,0.5667280610807652,1.0117352808692828,0.030183556517425797,0.0,5000,3145,1.0,6,0,1.0,1.0,1.0,1.0,1.884227389152221,0.008206881277154037,-0.05356054678324197,0.0017547542404966424,0.6077921027732623,0.7290341298809976,0.5622865448762533,0.4616429605904781,0.05011838355397538,0.08112657460940687,0.0489956608051414,0.051881940595315576
7,0.5450363580392585,1.0568158297292327,0.02562968735649379,0.0,5000,3161,1.0,6,0,1.0,1.0,1.0,1.0,2.20214334491906,-0.008653198138742638,-0.04458980560757486,-0.0068961936490988755,0.6629427126742707,0.9188882069297121,0.5655395357565408,0.40262623654095303,0.013735192003664784,0.030136490726543286,0.01548219905383329,0.011597174958445682
8,0.5372251775696698,1.066733170344487,0.02721735316463577,0.0,5000,3186,1.0,6,0,1.0,1.0,1.0,1.0,2.5109433494485285,-0.016983246567119182,-0.046651188584941515,-0.01602012525842699,0.6562789174506655,0.947540076751034,0.5354642202019523,0.39078786001368815,0.00747258411390883,0.029294956322902153,0.010364154694224604,0.006493369489964043
9,0.532442601814032,1.0656182827222496,0.032077008416013277,0.0,5000,3157,1.0,6,0,1.0,1.0,1.0,1.0,2.8247230810251245,-0.045248533791121245,-0.03288937996418466,-0.009093563431522601,0.648750177879379,0.9850378249644435,0.5336334562944149,0.39100902853651814,0.004128899662053285,0.005428090756785937,0.0013177435999004701,0.0009941632776880906
10,0.5330073713508305,1.075081128168383,0.026414784703149837,0.0,5000,3154,1.0,6,0,1.0,1.0,1.0,1.0,3.132973990382566,-0.032981142614630726,-0.035115294228248044,-0.013224722706712991,0.6435051267091615,0.9926293322833292,0.5299118470735064,0.38824781950232684,0.0026099508706891967,0.0009386058430810181,0.0002984096160234308,6.05117472396522e-06
11,0.5271007180290285,1.0890702072473097,0.024218826436984323,0.0,5000,3188,1.0,6,0,1.0,1.0,1.0,1.0,3.4365068796947327,-0.030390522771777694,-0.02684016241441114,-0.01040682229231682,0.6348024615723729,0.9978482173604009,0.5269691706230311,0.3886668599580049,1.5621418075639086e-27,1.4248800100554526e-29,2.5205338516975735e-28,4.310262030417744e-28
