generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9933579383195175,0.003497398579029526,0.0033405462603173777,0.0,5000,3176,1.0,5,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5054686133222269,0.49719138269363583,0.4969232666391679,0.5140343119973354,0.08608798055922774,0.08770510177618647,0.08677676076639576,0.08696249715945498
1,0.9577764811359805,0.24678452204586726,0.006490524017586096,0.0,5000,3184,1.0,7,0,1.0,1.0,1.0,1.0,0.24917732904820003,0.008470378930520103,0.003414951973570675,0.013350505085033626,0.5041557077444642,0.4960640001829138,0.5017375710735,0.50729477788959,0.09064779292099531,0.08755009237538977,0.08921110225429782,0.09114223441845795
2,0.8792794863702879,0.46991676294738927,0.0097366133321883,0.0,5000,3147,1.0,8,0,1.0,1.0,1.0,1.0,0.48274695673547896,0.01798072301147586,-0.005841393492165104,0.017961217350171407,0.5019205474763732,0.491990898481122,0.5006884802920306,0.516282462904722,0.09202314124942146,0.09168882378305974,0.09274615673266427,0.09226959233390011
3,0.7671893054011207,0.6961094328242428,0.012892589634778382,0.0,5000,3187,1.0,7,0,1.0,1.0,1.0,1.0,0.7214315094455035,0.007071874512475641,-0.0076793208697078785,0.01357027758866336,0.4989787196703238,0.48947664791546014,0.5027143505856873,0.5140672465508229,0.09507767551637926,0.09299387332246026,0.0938202110932821,0.09441219679970668
4,0.636680915973632,0.9244296765581898,0.014919273760516286,0.0,5000,3156,1.0,7,0,1.0,1.0,1.0,1.0,0.970170692907339,0.014698214393355079,-0.015470573069360647,0.011274943330639655,0.5183914661161696,0.49741272469626663,0.50517585788337,0.5095033866411491,0.09689524874080876,0.09350488732874634,0.0916909428782075,0.09500909722680626
5,0.5791830807869456,1.0216110709160842,0.015716974976209174,0.0,5000,3162,1.0,8,0,1.0,1.0,1.0,1.0,1.2235189587476987,-0.0032761759434968146,-0.0006272109205597131,0.019191933186352927,0.34872270492572494,0.5228295703372436,0.5181477376364378,0.49891818359851525,0.07147680175888428,0.08828121054801956,0.08550655926848864,0.09397470275647296
6,0.5755875582946736,1.023103871614403,0.01820209034135253,0.0,5000,3128,1.0,7,0,1.0,1.0,1.0,1.0,1.477700818855698,0.00514196942040848,0.0020555621643382955,0.02148661725527624,0.17972013800454237,0.51363331614875,0.5306307351702423,0.47507126672979094,0.0303627415388845,0.07998197115504314,0.0878189559422811,0.09280118105595174
7,0.5944513682168096,0.9870783115590959,0.020631935050463675,0.0,5000,3148,1.0,7,0,1.0,1.0,1.0,1.0,1.7211732948686203,0.008513855478162425,-0.003923035984239043,0.033905585816720964,0.10632093559610432,0.5270900844641281,0.539222975899065,0.47040085362102574,0.013455465069613162,0.07831851540988921,0.08246869999998734,0.08967712339943293
8,0.584578116802623,1.0086638155344199,0.017185863030089413,0.0,5000,3105,1.0,6,0,1.0,1.0,1.0,1.0,1.9751897360128374,0.01787491223852625,-0.012125387994482276,0.04267787411298274,0.10371354955302993,0.48503127435607013,0.5602529648254436,0.45557132414551227,0.012242857033335523,0.060832095023456746,0.061054259767295005,0.06127509930611792
9,0.5702809646391702,1.0399779871619004,0.012862383722021191,0.0,5000,3146,1.0,7,0,1.0,1.0,1.0,1.0,2.2138090653929883,0.013008168213327877,-0.01225583246826579,0.05100205346038013,0.09775490893295377,0.46619278809103626,0.5611497225621224,0.48945108330998666,0.011976041586797813,0.05684625907818464,0.06583580232415928,0.05039576253300954
10,0.5572369589123622,1.0633850234897686,0.011506313847495748,0.0,5000,3192,1.0,6,0,1.0,1.0,1.0,1.0,2.457939425120021,0.006081256477843827,-0.020757667775348418,0.059499481110648275,0.10169288121585342,0.45932521346421806,0.5774978174163328,0.5249273222959647,0.013962619835459416,0.05570257401667919,0.06275536494874952,0.04539518542484289
11,0.5449183748789157,1.0841281709233808,0.010971522537819675,0.0,5000,3170,1.0,5,0,1.0,1.0,1.0,1.0,2.7069700185628798,-0.010172207328540097,-0.014900924120029371,0.0432442216084909,0.11362070569934615,0.45722959035480026,0.5822267128151041,0.530702770857001,0.014018963824596477,0.05113087908001319,0.056364065262327255,0.046632600718776895
12,0.5380338473956031,1.091405165429014,0.01308889338963963,0.0,5000,3184,1.0,7,0,1.0,1.0,1.0,1.0,2.9511782716608277,-0.018699879124819366,-0.006342960227876405,0.022618071665011053,0.09903230877155735,0.40554785972952934,0.5879282227461651,0.5274544251814285,0.010677131340381943,0.05873340190636725,0.04571883228325711,0.06567524053680475
13,0.5332603075477875,1.1000424804113045,0.012586266788530833,0.0,5000,3196,1.0,6,0,1.0,1.0,1.0,1.0,3.178447768492578,-0.02887683958773191,-0.009271757681328888,0.030384040872869424,0.12073151689920733,0.319833389585212,0.6098818759396444,0.6295700129301681,0.016441060646504094,0.060341608663293515,0.03790167465216131,0.07501301835540652
14,0.5308659208814533,1.1065481646439108,0.011109255815793879,0.0,5000,3166,1.0,7,0,1.0,1.0,1.0,1.0,3.4329066193991378,-0.020759699105069855,-0.010290513379756831,0.03811659863280067,0.09825508821670434,0.2140718402021525,0.6106694184718572,0.6977775247258847,0.011456914661765495,0.04902663852137822,0.03205576498529875,0.07243319115189831
