generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.993284899110639,0.0019266694937572783,0.0033815961645959525,0.0,5000,3164,1.0,7,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5025174441731328,0.5000182254677658,0.5013348678208723,0.4930877871852519,0.08758213561901453,0.08820365208717013,0.08628297508583366,0.09013218055215169
1,0.9560767438044372,0.2528116760170485,0.006631229955668198,0.0,5000,3172,1.0,6,0,1.0,1.0,1.0,1.0,0.2521415475812099,-0.00575598211822148,0.00032524534823406853,0.011749019816274239,0.5087095875747809,0.49858767438994567,0.49374598340251313,0.5008345873770111,0.09208829454628042,0.09064133938768287,0.08980634055285819,0.09604134704882937
2,0.86007699307173,0.5151291875811855,0.009710574621783817,0.0,5000,3146,1.0,6,0,1.0,1.0,1.0,1.0,0.5197445619574268,-0.013195924909087341,0.003659964184219573,0.005183491478250372,0.5018431713647535,0.4929317717172648,0.4991427310270361,0.5063481784583274,0.09445765412554159,0.09127876074363127,0.0910206729706057,0.09678594620312908
3,0.7399657277620195,0.7478650654204348,0.012445697675735444,0.0,5000,3156,1.0,6,0,1.0,1.0,1.0,1.0,0.7593108576132904,-0.011098393710485582,-0.013629136860719456,0.017459146800669546,0.5015305064901475,0.49164166397032516,0.5002094575515746,0.5037784570255763,0.09639459425710999,0.09438260415342392,0.09285124031091507,0.09498977573647335
4,0.6139819184292006,0.9638596133927326,0.014119098805733386,0.0,5000,3154,1.0,6,0,1.0,1.0,1.0,1.0,1.0037098729069152,-0.006570819669584918,-0.028954200554754877,0.04685149783191299,0.5144223387694654,0.5008746219278544,0.5067701681846803,0.5069833616261037,0.09806927872319139,0.09571900187732339,0.09282237056402627,0.094799356189211
5,0.5697682573716584,1.039913422673221,0.013984092197447255,0.0,5000,3127,1.0,6,0,1.0,1.0,1.0,1.0,1.2639851989453907,-0.01260017316976381,-0.018878159852481754,0.046295170037736734,0.3112403233451184,0.5387037563730009,0.5160470081773133,0.5120437028645561,0.060357220501710274,0.10045715318159848,0.09509762040249134,0.09445705693220013
6,0.5769272932741325,1.029185886902768,0.013326570392843167,0.0,5000,3130,1.0,7,0,1.0,1.0,1.0,1.0,1.5105184483843626,-0.004536315262604474,-0.011074563344641184,0.0415403549424371,0.18389635281959882,0.6221805066415115,0.5178139669266781,0.5196313254825503,0.029160528210357053,0.0916947377520644,0.09578023921604326,0.0806135899828059
7,0.5604880129611334,1.064425346731032,0.008132221315078163,0.0,5000,3103,1.0,7,0,1.0,1.0,1.0,1.0,1.7632612910589458,-0.006790022540553702,-0.00894772378516625,0.03314910337604702,0.19259550038828144,0.7079763828607469,0.6268532431019362,0.5726671158117477,0.029428802501159316,0.062490832973789066,0.07006455905274264,0.06430631565909896
8,0.5525719736141178,1.0806871338068065,0.006367702441953817,0.0,5000,3136,1.0,6,0,1.0,1.0,1.0,1.0,2.026421391541925,-0.01135445332078958,-0.002517853744555075,0.01588592780404093,0.100731849409878,0.7849105833969241,0.6435097143337558,0.6622099519744938,0.013374821008407483,0.04527805632947095,0.06315127808430038,0.05912832397629833
9,0.5421304295762289,1.0981627655547588,0.005675777016504785,0.0,5000,3180,1.0,7,0,1.0,1.0,1.0,1.0,2.291073177945053,-0.01742215587372295,-0.01227442801851034,0.013843492424734786,0.07348173105541905,0.8373578916492852,0.6355534898421041,0.7006914990133899,0.008156493892126516,0.038279957038646006,0.05979875781335065,0.051931898116440584
