generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9935245316509845,0.002699882218719781,0.0032569273449017597,0.0,5000,3177,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49825086763247173,0.49286989721227575,0.5043137530120554,0.5000058712210946,0.08785889654574083,0.08508544848834887,0.08557766353202696,0.08829329365208144
1,0.9581792846417373,0.2427794655709231,0.006769922256111244,0.0,5000,3150,1.0,9,0,1.0,1.0,1.0,1.0,0.242527205031633,0.008962893864919675,-0.002306872452620787,-0.009477946035566669,0.49442725614879474,0.49422358741215666,0.49835945967699047,0.5104614123810225,0.08884256562953055,0.0873797398749252,0.08921870518740375,0.09155698556593382
2,0.8656308294596733,0.5014267681467274,0.009962916712498776,0.0,5000,3170,1.0,6,0,1.0,1.0,1.0,1.0,0.5028932869172106,0.006625261004119963,-0.011039424237072302,-0.002125365394054189,0.4898939349418385,0.49913198044811335,0.5091862938478989,0.5080256578278355,0.09007881869177467,0.09158053928246028,0.08928310686286282,0.09279084884958229
3,0.7433378074590224,0.7409336265167952,0.012867325613453011,0.0,5000,3182,1.0,6,0,1.0,1.0,1.0,1.0,0.7508044496800917,0.011253926677505396,0.008627659338347506,0.009895663326977422,0.4871832543660206,0.4979733856250803,0.5066532070429123,0.5158019334213502,0.0919135528400318,0.08953677479621751,0.09129039906090382,0.0954939306982541
4,0.6175746478848377,0.9572747829981718,0.014622348478358898,0.0,5000,3154,1.0,6,0,1.0,1.0,1.0,1.0,1.0009030761230295,0.013269791907731176,0.011346043949388433,0.014747893855191192,0.5051648021055798,0.49976696483350797,0.5054948930804759,0.5256530312295198,0.09370970597716594,0.09094098476874632,0.09339053368814118,0.09422129897777431
5,0.5730564440171274,1.033704349984278,0.014276988153962614,0.0,5000,3145,1.0,6,0,1.0,1.0,1.0,1.0,1.2580146523964277,0.002233574845127838,0.006889474920300695,0.02119119295402714,0.30238585851437183,0.5325298452083498,0.5287850600873618,0.5240264713493721,0.0546922280308788,0.08474051751612295,0.08854881696728421,0.1079992552978334
6,0.567221403143786,1.0422215236740127,0.014478188519056998,0.0,5000,3166,1.0,7,0,1.0,1.0,1.0,1.0,1.515933713860918,-0.012703272332458384,0.002702980649650048,0.018865698476953446,0.19104834104511378,0.5934520917976127,0.5617665424286215,0.4636527065093894,0.030127433936908237,0.06386951177636553,0.07716732426580303,0.11144868043468936
7,0.5585808144538023,1.0569573004735138,0.013786594352181887,0.0,5000,3120,1.0,7,0,1.0,1.0,1.0,1.0,1.7759539291709157,-0.007864639905144393,0.003500527577112547,0.009944274752790803,0.14414718618504813,0.605462490753789,0.5700050783039393,0.4736660888579175,0.018545694373568004,0.0598007148633964,0.06441492394543956,0.09834708944149605
8,0.5412296003544101,1.0886094520401854,0.011919077120235586,0.0,5000,3183,1.0,7,0,1.0,1.0,1.0,1.0,2.0398046273641692,-0.010985501649465667,0.020493232507169938,0.0019207619189778868,0.14419651786892992,0.6284555328623992,0.5840035313025456,0.4715775021666606,0.018501264160763694,0.047503568735302995,0.07041912363954035,0.07989388335220206
9,0.5484490495567851,1.0755181484375678,0.01258365452416028,0.0,5000,3171,1.0,6,0,1.0,1.0,1.0,1.0,2.280730476338645,-0.0015816221681189853,0.029989033228058,0.0037288976247189295,0.11326534140448274,0.583412561055548,0.5079109518946542,0.5463453953759386,0.013372260525773252,0.04587221707613498,0.07998598130027458,0.07358272812577293
10,0.5421486446333391,1.0853905193305082,0.012713290229703359,0.0,5000,3139,1.0,6,0,1.0,1.0,1.0,1.0,2.519185129879685,0.00738838521443066,0.032531924895121876,0.005714101095272045,0.08891634309279474,0.5497925359625189,0.4225274490108679,0.5661702608360013,0.009037147535679826,0.031622155630287516,0.058489440328707544,0.04941917249841308
11,0.5328075998315147,1.0983851917155831,0.013935347459812765,0.0,5000,3140,1.0,6,0,1.0,1.0,1.0,1.0,2.7825601739290025,0.022094104179514653,0.03460282773740913,-0.005491065369792136,0.10728452397400856,0.5272920548729562,0.41322040416515526,0.504892914467287,0.0112142277517762,0.035784152422881736,0.06135595789072745,0.08009950187567484
12,0.5366100504501834,1.095600265771986,0.012017154139161414,0.0,5000,3143,1.0,6,0,1.0,1.0,1.0,1.0,3.031541070979257,0.0220279467052794,0.057514719794957675,-0.005924155844794561,0.11264519115769364,0.4758855046493621,0.28242181160506863,0.5648888995307385,0.01198433290528833,0.0390891782365344,0.05801541061166937,0.07122646223406029
13,0.5305159585157727,1.1084427833125847,0.010339550389488594,0.0,5000,3128,1.0,7,0,1.0,1.0,1.0,1.0,3.2843358751190292,0.024315728264653346,0.0552991599830508,-0.011847891696953584,0.12255689599214481,0.4343845696414553,0.2014222978607675,0.6780181642747529,0.012976998027491934,0.05221134553143431,0.04176934232465117,0.06126330233869464
14,0.5253382650717517,1.11624867646341,0.010768512297098513,0.0,5000,3190,1.0,6,0,1.0,1.0,1.0,1.0,3.5357391811874637,0.021659659974819064,0.062344252012719543,-0.0021259167063791638,0.11299688181589294,0.4730679338959504,0.19512018722972196,0.6668775001740226,0.013985745952598825,0.06659256085125646,0.039818008971779686,0.05760610512337107
15,0.5228513235716878,1.1214263335612826,0.010225501366692145,0.0,5000,3146,1.0,6,0,1.0,1.0,1.0,1.0,3.784144684448661,0.012457410870311146,0.07187794643812012,-0.012098563312749597,0.08523728099650475,0.43563924338031745,0.1924352101407256,0.657039386898027,0.011033582654768939,0.0598758511635232,0.034567790634612225,0.055025886533447296
16,0.523201994945941,1.1255102886909065,0.007526134300041428,0.0,5000,3174,1.0,6,0,1.0,1.0,1.0,1.0,4.043611083267545,0.011733678320035055,0.07598689679347462,-0.0074618862791086885,0.060778306052352966,0.3875791580045527,0.19819641654285067,0.718473539057103,0.007771000073351817,0.06801488069088688,0.02567119437927797,0.031119544404905677
17,0.5231874588930246,1.1239315068179871,0.008552858200230301,0.0,5000,3152,1.0,6,0,1.0,1.0,1.0,1.0,4.281397485978963,0.008566991596393009,0.08572439530369295,-0.002564158846643922,0.07063711899103564,0.36534720065945164,0.1571919586168919,0.7374070991749528,0.0060356331654375225,0.05001760012840027,0.022373046187978335,0.029345911468792802
18,0.5267248256370438,1.1189744239773787,0.007968902100278875,0.0,5000,3152,1.0,6,0,1.0,1.0,1.0,1.0,4.533834902644089,0.006899386624866452,0.08521495694048552,0.007409575947135975,0.07974794738984327,0.4309871565178397,0.16179961195662187,0.7744300411950618,0.007662738027135337,0.06417166341312358,0.02663727332830051,0.034141359201488725
19,0.5191371431071194,1.1291312651563798,0.009355683096846649,0.0,5000,3130,1.0,8,0,1.0,1.0,1.0,1.0,4.797051347475861,0.009211499967895593,0.08895437236491172,-0.012635764501618917,0.06556493226990606,0.47055179082234183,0.1659544461148554,0.7393642248599603,0.006837849309078338,0.07644414253769798,0.02130956452643617,0.048120772800562824
20,0.5256447209122959,1.1149543982356147,0.011356783761349135,0.0,5000,3096,1.0,7,0,1.0,1.0,1.0,1.0,5.058488621635071,0.008167371211116686,0.07836638817989018,0.000358630404437817,0.08070183635549195,0.530660167675247,0.15553127912119435,0.7470666889608348,0.007883313914471403,0.082641498429047,0.023294368403349208,0.041420864440412396
21,0.5235584295612044,1.1194521608318109,0.010592129139374469,0.0,5000,3124,1.0,6,0,1.0,1.0,1.0,1.0,5.326203720653423,0.012238026062029348,0.07243895761891371,0.0026046369653644845,0.08163240132803166,0.48118407368204996,0.18226786964191158,0.7829500042615261,0.010285844920931667,0.07595183679955879,0.03279961006909212,0.035909951631174726
22,0.5262465317972936,1.1180834831467272,0.009027739004244906,0.0,5000,3167,1.0,7,0,1.0,1.0,1.0,1.0,5.591284120999757,0.0177753818005587,0.06018600544129443,0.0053683280567611786,0.07430745075686283,0.4706178926066381,0.14249016920057278,0.8017010499684358,0.006168932532406623,0.06241619618779165,0.025643382481648384,0.028475325283590366
23,0.5220263059264725,1.1233235394279741,0.009865259957310924,0.0,5000,3160,1.0,8,0,1.0,1.0,1.0,1.0,5.837330382853249,0.020178719995002255,0.04869674452454852,0.0036618135653571555,0.06937727742049536,0.38261712509762347,0.1799656310207259,0.8198533660119405,0.008351628958745815,0.042288418727008566,0.0281544328371208,0.031222126781540356
24,0.5259163387163617,1.1175428243530288,0.009624074120928161,0.0,5000,3177,1.0,6,0,1.0,1.0,1.0,1.0,6.077681553779871,0.018745736231870213,0.04394601102046716,0.024530072400256463,0.08522537643417245,0.37680822769710853,0.2322596036553509,0.8290615409729082,0.009421914326806266,0.04015580138661203,0.0373116380140696,0.032014069122203836
25,0.5263718916644337,1.1196154207594429,0.007880355179757114,0.0,5000,3153,1.0,6,0,1.0,1.0,1.0,1.0,6.328854990305164,0.02687825629836122,0.04562825776111364,0.028590335022488034,0.06505477230299517,0.3900676289401819,0.2784844800067328,0.8281452776005138,0.0053013321738525345,0.04256660654951295,0.03983280026374914,0.025112755199020342
