generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9934249109606939,0.002758086847732265,0.003308248579927648,0.0,5000,3122,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4973421038918593,0.5009123394842705,0.4984132777326083,0.4949580203448469,0.08885968388694168,0.08795310137597177,0.08920845944957077,0.08767449520375249
1,0.9544520017446803,0.26016147977343757,0.006541639287693129,0.0,5000,3137,1.0,6,0,1.0,1.0,1.0,1.0,0.2606456809497144,0.0010500110172105134,0.002687259925949415,0.008061342418643721,0.4937076455179618,0.4998389147711183,0.5044409864228998,0.4839980780940552,0.09214007362219008,0.09183755571086404,0.09154472689039878,0.08933101252029664
2,0.8659964111274115,0.5018629912299489,0.009709280094034092,0.0,5000,3175,1.0,5,0,1.0,1.0,1.0,1.0,0.5066423395351103,0.0071204757161548865,0.01027135099671159,0.020502909793801385,0.4901374998566458,0.5094819038314692,0.5002352359531699,0.46937313424599414,0.09126235125775618,0.0933046021307104,0.0950865332906932,0.09112821249797301
3,0.7518825004922105,0.72579694969936,0.01263929742760938,0.0,5000,3205,1.0,5,0,1.0,1.0,1.0,1.0,0.7414800418257529,0.01679702842122044,0.007042893852334059,0.034353608560602635,0.48490751322710485,0.5104758588530487,0.49453179101349526,0.48043561081827213,0.09646690661600243,0.09344749884660744,0.09844025146666385,0.09168665781006961
4,0.6173664307988987,0.9575394897678433,0.014876002957939033,0.0,5000,3174,1.0,7,0,1.0,1.0,1.0,1.0,1.0079051672903367,0.01796830927472969,-0.0018293740750053543,0.0337743426442897,0.493727797138751,0.5090243778739295,0.503614448099749,0.4834008786278701,0.09701378299838857,0.09362107783081441,0.0999571273951182,0.09124620403327441
5,0.5818428645207575,1.018677696602117,0.014749082643747748,0.0,5000,3168,1.0,6,0,1.0,1.0,1.0,1.0,1.250617242359012,0.026621487751727492,-0.0010784159917238115,0.04220754135139679,0.2989488407807167,0.5054565490334613,0.5204720274755139,0.49860104822019574,0.053426129268305395,0.0947091245682734,0.10064922227181168,0.0905940960991928
6,0.571449952617386,1.03765055774777,0.012778945865227253,0.0,5000,3148,1.0,6,0,1.0,1.0,1.0,1.0,1.4943605356835854,0.031706065503515575,0.0006701690171898767,0.03849189161525358,0.2119900369762238,0.4836356578847832,0.5164871011238648,0.4930535283307191,0.03224907548516408,0.10405194611559222,0.08446971341062919,0.08706579784087182
7,0.5471740730778109,1.080914069735182,0.010809316191438921,0.0,5000,3156,1.0,6,0,1.0,1.0,1.0,1.0,1.7448471275224378,0.01836779537627177,-0.013236594734630925,0.03540513538717907,0.1465036608336947,0.4401184218836998,0.5260886126777466,0.47967711223271237,0.02242727334313852,0.10561729303364359,0.07284591236267154,0.08911535667952623
8,0.5433289567666229,1.0864065351342262,0.011051648699143164,0.0,5000,3162,1.0,6,0,1.0,1.0,1.0,1.0,1.9965023746237889,0.03304779653093517,-0.013357119269362441,0.04228933890523968,0.10006465574933264,0.3793423668330924,0.5659537290484258,0.5243157104692141,0.01229035251593937,0.09991783350615377,0.06501350846587217,0.09826915134512808
9,0.5288437898877464,1.1143733793896764,0.008601299625502623,0.0,5000,3166,1.0,6,0,1.0,1.0,1.0,1.0,2.2671458865920258,0.036258536299007355,-0.010654489100509545,0.04291142723371432,0.09184473972206376,0.3283307323593042,0.6165900054754715,0.5768095815394408,0.007946968911441754,0.0933683565352686,0.05567101871747432,0.08581552256864264
