generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9810018276211641,0.0096388025622389,0.009611992547298782,0.0,5000,3192,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5080750194212741,0.5057115595380218,0.5046013400428053,0.499139228052626,0.0825064747382488,0.08197057153224896,0.0803439154246874,0.08601068447360392
1,0.9489629704566931,0.17194085237096288,0.01912943780838519,0.0,5000,3145,1.0,7,0,1.0,1.0,1.0,1.0,0.12161114201056515,0.13212119851759285,-0.0004840779867179442,-0.0012308082784670143,0.5065912794634803,0.49761025576331896,0.5113306774968912,0.49210335151087564,0.08222058879389788,0.08058925245496076,0.08079307538322127,0.08451203069401292
2,0.8918201906284232,0.3478657824172452,0.02817226178738813,0.0,5000,3167,1.0,8,0,1.0,1.0,1.0,1.0,0.25244377755847935,0.2641374440781089,0.0009287148290684575,0.00400487144591583,0.5090753107433005,0.4997160138408326,0.5179663811423703,0.49705109433290073,0.08132435131842093,0.07871510330238382,0.0778897296276073,0.08639502649230979
3,0.8239416217502578,0.5023571224012895,0.03658084813609033,0.0,5000,3163,1.0,6,0,1.0,1.0,1.0,1.0,0.37404729142213267,0.38911569627567233,0.005188664079434112,-0.0027641949730525285,0.5154068323420523,0.5075807698863114,0.5194169049893201,0.5024360090001525,0.08399063558499129,0.07642333108951173,0.08100188157219107,0.08706084916810787
4,0.7499234938908428,0.6500945373855722,0.042962289003674936,0.0,5000,3184,1.0,7,0,1.0,1.0,1.0,1.0,0.5044267105856647,0.515834194478408,0.02774800572473583,-0.012208972989850766,0.514996463067395,0.5046848690882332,0.5275778934504927,0.512643614870567,0.0852728364349303,0.07786253204667364,0.08245746971081057,0.08531216435816175
5,0.6913860164809875,0.7572530366953703,0.04685752123369918,0.0,5000,3164,1.0,6,0,1.0,1.0,1.0,1.0,0.6278790718903938,0.6473898375260513,0.01832284137210694,-0.007399588615159079,0.5150637828318866,0.49686978139833865,0.5251242117851445,0.5052851270028125,0.0840917869526747,0.07936237027495484,0.08035441985341542,0.08369268710010516
6,0.6559766624782154,0.8227770831952907,0.04721023874613313,0.0,5000,3116,1.0,6,0,1.0,1.0,1.0,1.0,0.758372135971525,0.7665809336302185,0.02683152008558727,0.005787185267516442,0.5153378735048344,0.5023826111356045,0.5269555803708129,0.5110338437949337,0.08398712823946078,0.07961138784641374,0.07826812831956728,0.08024494703796396
7,0.6364764127339165,0.8581736096369696,0.047213467299205246,0.0,5000,3142,1.0,6,0,1.0,1.0,1.0,1.0,0.8866828077437531,0.8892624502302915,0.007266497244516758,0.006285491188676365,0.5282583811491192,0.5095724663610743,0.5236640219291786,0.5017862019952342,0.08089661116710853,0.08106868297997893,0.07381418281175056,0.07621374419376835
8,0.6194826220192768,0.8914919621590754,0.0451797931970118,0.0,5000,3153,1.0,7,0,1.0,1.0,1.0,1.0,1.0172372275180608,1.016344054718873,-0.0038734285906174577,0.01211946694411863,0.5412388439579616,0.5168431495681233,0.5090476163768122,0.49261762883847987,0.0774870599029599,0.07975817670521503,0.0675775121410053,0.07174034544619858
9,0.60594189594041,0.9126880131411146,0.0460307695129212,0.0,5000,3169,1.0,6,0,1.0,1.0,1.0,1.0,1.1320051260413695,1.131836118583967,-0.018431163361760962,0.01163650219864627,0.5647210784346126,0.5230869208210731,0.5093842442757054,0.4909618645279591,0.07858751873092694,0.07783066352006329,0.06183360890825437,0.06665464715145292
10,0.5903943222879949,0.9393261991913902,0.04625668600107531,0.0,5000,3154,1.0,6,0,1.0,1.0,1.0,1.0,1.260061263681146,1.2523853486967829,-0.0165669089869923,0.001992857585390447,0.5700336377941021,0.5306893813004566,0.5050933934696434,0.5082356493910274,0.08694029650083507,0.07519932224313025,0.0595161842202853,0.06267577073858294
11,0.584125311460446,0.9549868432730657,0.04416629340890521,0.0,5000,3174,1.0,7,0,1.0,1.0,1.0,1.0,1.3855883514107807,1.3739676763789712,-0.018759417797009677,0.014596357290232608,0.568608961105332,0.5411406327736213,0.4845085835884468,0.5169461843105914,0.10299542667477321,0.06667260962334425,0.059283267262657695,0.05354404504890501
12,0.5804700918542454,0.9603001228705383,0.04453386755835915,0.0,5000,3160,1.0,7,0,1.0,1.0,1.0,1.0,1.507871535748482,1.5117249729851907,-0.021602736721159282,0.018641017599215208,0.5960542022162517,0.5684956319440634,0.47165494248068124,0.5297004560874499,0.1092538963670783,0.060331344816617956,0.048927844583282316,0.04526385131576959
13,0.5792000368147512,0.9578594974879919,0.0466652437367373,0.0,5000,3163,1.0,6,0,1.0,1.0,1.0,1.0,1.6322220718859812,1.6405489909789401,-0.010704385764938717,0.03237869876095819,0.6361207314020219,0.6151599805611735,0.4739777200859019,0.5465790266033378,0.11557793412176862,0.05255619243771198,0.044262560154722366,0.03556808687411789
14,0.570499136329664,0.9727999577277363,0.04662174560914336,0.0,5000,3146,1.0,7,0,1.0,1.0,1.0,1.0,1.7575403838101087,1.781887469539778,0.01566182171533419,0.021515726318356097,0.6573978651746727,0.6367815439628394,0.4743015685094506,0.5434605323418866,0.11298585688278429,0.046263313895760494,0.03827949773260121,0.031248672908283096
15,0.5658836692518416,0.9820945642380261,0.04564653534927223,0.0,5000,3159,1.0,6,0,1.0,1.0,1.0,1.0,1.9003488303151932,1.9106298391354621,0.03015516725170342,0.021219809640883238,0.6511321381900359,0.6341594543497144,0.46002245658377594,0.5244505507372745,0.12190347982542567,0.04469306576347603,0.03160230030318813,0.026027880358811446
16,0.5611062070374685,0.9888442864843034,0.046324749757679085,0.0,5000,3153,1.0,7,0,1.0,1.0,1.0,1.0,2.0038475643313904,2.047968801129226,0.029659157971982084,0.022293393306049337,0.6600286918933588,0.6279051684310204,0.45803176279007074,0.5158148913994032,0.11942525252172644,0.048870752452011224,0.028260395910327918,0.024014797864112113
17,0.5593429002695304,0.9886491696981565,0.04788848274654194,0.0,5000,3183,1.0,7,0,1.0,1.0,1.0,1.0,2.1074609955142827,2.1700524983782956,0.022965995118433363,0.03542343400220725,0.6444413091514368,0.6062372321071106,0.4577458650351264,0.5024864918808061,0.12278433821680276,0.054667244495142174,0.026727212014896445,0.026516472354209532
18,0.5494771030923453,1.0102224424528872,0.04571663858323542,0.0,5000,3172,1.0,7,0,1.0,1.0,1.0,1.0,2.241160308827003,2.3005675311228493,0.029255755061597617,0.036853627013105815,0.6130055150565112,0.584936463518382,0.4515726824852129,0.4899239285146121,0.12602571003769766,0.055526159820782524,0.024546662084380135,0.0280567917125461
19,0.554154130608813,1.0027662601811747,0.04559760099024959,0.0,5000,3194,1.0,7,0,1.0,1.0,1.0,1.0,2.352463041395835,2.398425529494969,0.03712791011073438,0.03667562104194658,0.5996254406006573,0.5784802676169959,0.4345148709029107,0.4803758554486011,0.13397380631700945,0.052464894553710846,0.018420316401734936,0.026037492661677885
20,0.5556464085719864,1.00563100589181,0.04258791661449486,0.0,5000,3226,1.0,6,0,1.0,1.0,1.0,1.0,2.455795935036263,2.525699805544029,0.032663125908480944,0.03645256315315514,0.5893165791988433,0.5680742821014195,0.43110610242793346,0.46759893533816477,0.13848018316225802,0.05491484436516197,0.014723496394992338,0.025948383583008695
21,0.5533240923536982,1.0172003068688948,0.03880534885551755,0.0,5000,3176,1.0,6,0,1.0,1.0,1.0,1.0,2.5788908281670575,2.645570081212752,0.023441498258084878,0.04683964884545324,0.6082763337835683,0.5718087871513554,0.4243213413731158,0.47249707266119706,0.13466516390494448,0.05402095681467797,0.014293780394758236,0.024084779727178925
22,0.5520264748317464,1.021160635444185,0.03801581997239116,0.0,5000,3151,1.0,6,0,1.0,1.0,1.0,1.0,2.689941684828705,2.7845714542764335,0.03255616935244391,0.06515185407606579,0.5857137914053698,0.5509197184946331,0.3971294998270623,0.47267843528855374,0.12410336761478795,0.04948403521269514,0.014348157155978552,0.020717300842772447
23,0.5531283223134291,1.0245229382357712,0.03531332535370956,0.0,5000,3172,1.0,6,0,1.0,1.0,1.0,1.0,2.8126017819986426,2.9119958731817324,0.021663848812211204,0.06197063498905369,0.548129049393113,0.5471863516168762,0.3644368629613649,0.48121850353848833,0.11478261746959667,0.03932973830707822,0.01356781685648204,0.014900234339736366
24,0.550444472594161,1.0378003252440384,0.03086760402859346,0.0,5000,3167,1.0,6,0,1.0,1.0,1.0,1.0,2.9315607208750536,3.0422497607167305,0.03033679329330424,0.06849463341382905,0.5399109410685158,0.5470160290933668,0.3460507951837156,0.48811489777351763,0.10393034244078601,0.033933554571373335,0.01278830320348201,0.011118890336363553
25,0.5488518275662256,1.045514361313656,0.02830452489800149,0.0,5000,3123,1.0,6,0,1.0,1.0,1.0,1.0,3.0687614048449814,3.188845764714532,0.03439236806736843,0.08032479848531235,0.5627030986182896,0.5578934655890873,0.33699860501375517,0.4995436662706039,0.09972545362467845,0.03103346146919779,0.011792020769577598,0.008397096817368005
