generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9801849490698492,0.006203340147809099,0.010047985816540064,0.0,5000,3173,1.0,7,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5013946033755122,0.49323420186235123,0.5046237369975767,0.5023550026912837,0.0852663079985345,0.0838400871236243,0.08065513602251267,0.07983536275856941
1,0.9461398512431347,0.18659305222500328,0.019323182014192045,0.0,5000,3146,1.0,6,0,1.0,1.0,1.0,1.0,0.1382836872888165,0.13473365085783545,0.005784662465090443,0.0028133872077012304,0.4994591975080808,0.4930900631693752,0.5044200863564751,0.5001766306018501,0.08623691630421326,0.08409191921836065,0.08144102636757952,0.08119020993915535
2,0.8907234104024992,0.35142151622503703,0.028175707403661723,0.0,5000,3160,1.0,7,0,1.0,1.0,1.0,1.0,0.25970229507848774,0.2610399931193109,0.01330527243444511,0.009192914298708253,0.5075279464374283,0.48558576726379743,0.5084569536587126,0.503356210308298,0.08576839589307403,0.08453196936537107,0.08223422111448232,0.07964018365694917
3,0.8217649295876417,0.5042294765198561,0.03748875081469366,0.0,5000,3120,1.0,7,0,1.0,1.0,1.0,1.0,0.3826655495547099,0.37939647554892125,0.007354116165079664,0.00461783936092913,0.5166517348813255,0.49074951360323965,0.5076069362782879,0.511371427670207,0.0856701529422161,0.08545698460325987,0.08028122769001357,0.08021163761053507
4,0.7443070765825267,0.6563844256363405,0.044951786516658016,0.0,5000,3112,1.0,7,0,1.0,1.0,1.0,1.0,0.5187516902832896,0.5060128979122389,0.008466113078978215,0.005292096094238812,0.5143792233719106,0.503332384669409,0.510345227541613,0.5278860794202546,0.0852846742299641,0.08309526824709666,0.07934942291773107,0.07946347261744977
5,0.6913179263318263,0.7547119309927788,0.04760371446972811,0.0,5000,3195,1.0,6,0,1.0,1.0,1.0,1.0,0.6478730946736848,0.6203125360828905,0.006756211763240211,0.018464306966604588,0.5229333502329858,0.5058108956650627,0.5085174946277783,0.5309294241250134,0.08648294987726601,0.08249738827989835,0.08242588135010763,0.0804025327556953
6,0.6558037632731037,0.8189377419184812,0.04859080488346955,0.0,5000,3153,1.0,6,0,1.0,1.0,1.0,1.0,0.7793557771333083,0.7429762352327692,0.01558101380916413,0.036921939031912265,0.5278003061339239,0.509094081732902,0.509268467532119,0.5320056007076716,0.08812132487578563,0.0843138136413575,0.07798842832275461,0.08381765184268272
7,0.6316710145172587,0.8584312898633117,0.050430265201871965,0.0,5000,3163,1.0,6,0,1.0,1.0,1.0,1.0,0.9013110756597976,0.8408617135515798,0.010324325058762244,0.04240198319269915,0.5460433286679433,0.5160504260043872,0.5083779495495296,0.5293731708798236,0.08819152756508584,0.08046609053993466,0.07696476501837458,0.08420871136870715
8,0.6183656351917063,0.8791597456149216,0.05176156122146427,0.0,5000,3120,1.0,6,0,1.0,1.0,1.0,1.0,1.026261677101787,0.9637895636450348,0.009002941328774496,0.04287930774474329,0.5605425951060931,0.5235179902780712,0.4985422916425415,0.5189305528063504,0.09102122611610676,0.08090366551227679,0.07173322977963599,0.08782703338015219
9,0.6032412719913461,0.9063948439833225,0.051542631137517,0.0,5000,3192,1.0,7,0,1.0,1.0,1.0,1.0,1.1525848564877508,1.103155725452721,0.015885517225392505,0.02554986718610814,0.5972288513286618,0.5182922737284315,0.5007607270552665,0.5132568908100771,0.09540070874765459,0.07082779243600339,0.06950824121934547,0.09144867063981568
10,0.5979257483935028,0.9118247429094384,0.0533158041943229,0.0,5000,3162,1.0,6,0,1.0,1.0,1.0,1.0,1.2810101754184304,1.2143651326321467,0.0106707464342623,0.01559998171880092,0.6317741633717119,0.531780792186601,0.4959486261034092,0.5355267818161981,0.09952004059660417,0.05989424687687938,0.0648477380112577,0.09692964626406618
11,0.5951760616402998,0.9209787565777259,0.05092276911568716,0.0,5000,3157,1.0,6,0,1.0,1.0,1.0,1.0,1.421806560818098,1.358662661205783,0.011362007960851904,-0.005090963860621189,0.6784826145752281,0.5273768491146146,0.46581499678435195,0.5386662237687291,0.10022703132397073,0.04393734398689193,0.057688564172074304,0.09954997618220372
12,0.5876132381230991,0.9396093829140937,0.048387195789309,0.0,5000,3137,1.0,7,0,1.0,1.0,1.0,1.0,1.5288784124703587,1.4875427086256265,0.01721931564918917,-0.00685959320365269,0.7250769984268984,0.5377718983597005,0.45851658166170156,0.5214336254181196,0.09102455830961598,0.03530118572427487,0.052240147774553325,0.10188945992733568
13,0.5816034173864336,0.9523747003198383,0.04720715924020396,0.0,5000,3132,1.0,7,0,1.0,1.0,1.0,1.0,1.6521724114084764,1.6059320871875706,0.012081206978213355,-0.011895947328675665,0.748905845857623,0.5408301801210995,0.43427907013774336,0.5189406973949767,0.0860157848273569,0.027707382503290693,0.03688891276716141,0.10435954625407887
14,0.5759525102730868,0.9695740367968995,0.043501824840152345,0.0,5000,3192,1.0,5,0,1.0,1.0,1.0,1.0,1.7840928737882353,1.7408140665044274,0.018132146017079645,-0.01776410568883207,0.7730890086122303,0.5354473914976251,0.4185921005623109,0.48771557045162217,0.07940796194456112,0.02233389096324321,0.03034904743353936,0.1028883481710653
15,0.5648853853154062,0.9906643659313404,0.04219282187656209,0.0,5000,3182,1.0,7,0,1.0,1.0,1.0,1.0,1.9166814295917356,1.8740009081774953,0.02282515866399856,-0.013556171214134598,0.7735601437872942,0.5478390126125615,0.4063596413290271,0.4955470968006345,0.07452622221298237,0.02464565779043964,0.026341675527493145,0.10253567190245731
16,0.558689043736651,1.0011144589973626,0.04255135860061666,0.0,5000,3169,1.0,5,0,1.0,1.0,1.0,1.0,2.0482552408774617,1.9924432886949952,0.02216153734444044,-0.017646203762140676,0.7983169180257789,0.5585160761391561,0.4023336354045373,0.5006326351788246,0.06198676819065113,0.022030838039061362,0.019912285476488295,0.10697238368063026
17,0.5592672125396322,0.9992971341385771,0.043056518837875535,0.0,5000,3142,1.0,6,0,1.0,1.0,1.0,1.0,2.1663357080897927,2.132702835088114,0.01420816264677646,-0.01077947671215306,0.8014495790703609,0.5654987659461718,0.3986926821339462,0.502858199710363,0.05844463226000846,0.02208452269450745,0.018658636281520872,0.10720288477089807
18,0.5612065272047551,0.9951440583050791,0.04314239898530231,0.0,5000,3171,1.0,6,0,1.0,1.0,1.0,1.0,2.2866446661363593,2.254121143461765,0.026734755462501,-0.01494824400835683,0.8184624316570813,0.5732451001398261,0.40495081831218693,0.4969776223476092,0.04866442852811745,0.02286747479391349,0.01985270737138261,0.10316266540951649
19,0.5620421661580294,0.9978649745427958,0.04101567578860081,0.0,5000,3132,1.0,6,0,1.0,1.0,1.0,1.0,2.409929512954323,2.36306240338923,0.012520503065494905,-0.01174251274395139,0.8228168701356299,0.5962919064966223,0.40428140724498024,0.530883871811767,0.03967953026843179,0.02325136815789398,0.014191780229293658,0.10896637513510782
20,0.5597310116793182,1.0043889738454588,0.03987611671957408,0.0,5000,3201,1.0,6,0,1.0,1.0,1.0,1.0,2.5227581425198977,2.47464135098157,0.009887112381903117,-0.01358012698832165,0.8271782585514529,0.610549155425171,0.4104153979797177,0.5572498791833079,0.03460042490773483,0.02420897269067987,0.011720803300291464,0.1100738787637136
21,0.5580418046436711,1.0151300510916497,0.0359333175526632,0.0,5000,3160,1.0,6,0,1.0,1.0,1.0,1.0,2.657239477492211,2.597661261529519,0.010505662307057972,-0.010174767926960579,0.8405986079016499,0.6253425494726588,0.4104689545538259,0.5907397928892193,0.023834586561696274,0.02417369234716489,0.009152958838299733,0.11182584432589365
22,0.5583082787038824,1.01187016112351,0.037584778724139775,0.0,5000,3166,1.0,6,0,1.0,1.0,1.0,1.0,2.794374335248506,2.713299825915424,0.004977627846188515,-0.026227748390619983,0.8476220366157424,0.6281195407410981,0.4121264221038345,0.5899941303210017,0.019893836722266352,0.02284322852538352,0.00995478835866996,0.1127037088273015
23,0.5632452103030644,1.0072359227803884,0.035563649559549944,0.0,5000,3186,1.0,7,0,1.0,1.0,1.0,1.0,2.912432098865092,2.8299254662343145,0.004904356883718198,-0.01962194970113696,0.8582529408160382,0.6282155750900974,0.40460555253376906,0.5731580950909063,0.013664502061834392,0.021884243630898,0.008143772374106977,0.114861093985951
24,0.560820017460774,1.0107954237634806,0.03578644686143537,0.0,5000,3155,1.0,6,0,1.0,1.0,1.0,1.0,3.047791126864147,2.944469547276041,0.004846862879363146,-0.016145142526014917,0.8586834807352393,0.636571927646934,0.40270149968499563,0.5827138225579355,0.011080303242241131,0.021889932960012754,0.0064948729602543965,0.11464086008802726
25,0.5582177457421343,1.0146691439173932,0.03583017662205403,0.0,5000,3174,1.0,6,0,1.0,1.0,1.0,1.0,3.183793023668799,3.060128125110727,-0.013515754531861098,-0.015887081017832188,0.8651353147367803,0.6361941166251206,0.3982740257636623,0.5608960530692915,0.007092273420381133,0.021198377997006686,0.0051428376059749975,0.11761664156794543
26,0.552397576236145,1.0245309077531122,0.035708493448465176,0.0,5000,3185,1.0,7,0,1.0,1.0,1.0,1.0,3.3095294390924863,3.1811321857875523,-0.013718939356809018,-0.01314634077204754,0.8678159169367816,0.6339465037116742,0.3948757288209373,0.5322193680734194,0.005385578670157364,0.02049956491216347,0.0038944833997606935,0.11928335400419425
27,0.5475035019434755,1.0298869452794246,0.03735982313210278,0.0,5000,3123,1.0,6,0,1.0,1.0,1.0,1.0,3.4418010816259113,3.299008059161145,-0.03294246695548125,-0.013053289369412401,0.8749873742770493,0.6213072303440729,0.3922037602936859,0.5006579028359868,0.004245797946543438,0.01971759358882492,0.003568647179815443,0.11837993148815788
28,0.5485926496791005,1.0284915571218005,0.03709199751213691,0.0,5000,3140,1.0,6,0,1.0,1.0,1.0,1.0,3.572184913633468,3.4280079320209196,-0.01776077468621875,-0.010381830067048584,0.8730594373223225,0.6305197567525914,0.3968214852014304,0.5164431614719821,0.003428399788146473,0.019771059349585167,0.0035609446048430215,0.1204489787148496
29,0.5474552716216984,1.0290545604993382,0.037861267122037336,0.0,5000,3172,1.0,7,0,1.0,1.0,1.0,1.0,3.704809190393674,3.5478714075509394,-0.0007300592713445631,-0.007893025904986955,0.8691977675810322,0.6393964490522107,0.4004504396958419,0.5190634130799885,0.003134490448306925,0.019179856228699343,0.0032656697751203964,0.12519980109282278
30,0.5479279364819808,1.0283841326691208,0.03765751176928618,0.0,5000,3154,1.0,8,0,1.0,1.0,1.0,1.0,3.8170427408870227,3.6767057771626277,0.00014851901505661942,-0.013727110338554914,0.864104048871203,0.6532107941252734,0.40586531705413703,0.5418691840389922,0.0028106019013450527,0.018741169068053114,0.0030119598201973135,0.12869577492321882
31,0.5452538487727149,1.032866700802509,0.03777399156945328,0.0,5000,3124,1.0,6,0,1.0,1.0,1.0,1.0,3.943540043103486,3.7994996763709024,-0.013292079279467432,-0.010467194885868522,0.8614019270662835,0.6605896157665246,0.40820915329405855,0.5622763739819675,0.0026863974420571197,0.01859094201611349,0.0027968452044540826,0.12824457646124493
32,0.5453527620788569,1.0334776057984125,0.03732234411472356,0.0,5000,3173,1.0,6,0,1.0,1.0,1.0,1.0,4.050818687466278,3.928448597835905,-0.0011371452490624052,-0.008299383075781043,0.8604114313402959,0.6630909657417512,0.40979340534969844,0.563960082262169,0.0025864625707911278,0.01824601837675631,0.0027264955044002575,0.12972115764379713
