generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9809759768088873,0.004238782442222654,0.009645472316435453,0.0,5000,3148,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5038465306587745,0.4997369072579828,0.4954102937004018,0.5104429630580781,0.08291086715456407,0.08465558775331894,0.0824089128334647,0.08359391488046011
1,0.9471469752976424,0.18466063473666489,0.01895999207692059,0.0,5000,3161,1.0,6,0,1.0,1.0,1.0,1.0,0.1327488879478574,0.12726265204244108,-0.001382208004197078,0.01735239814493759,0.49544849925606743,0.4982511132291974,0.49326986986975974,0.5166051170209823,0.08407491048913265,0.08513838756240001,0.0843980780827598,0.08302861343551482
2,0.8876776910269855,0.3626960261339975,0.02800301792929646,0.0,5000,3153,1.0,6,0,1.0,1.0,1.0,1.0,0.2700337001487952,0.25348787574720166,0.010775941883460385,-0.005978010630147319,0.5029844918761543,0.4814569977362125,0.497716236733071,0.5125458685459027,0.08574130118386492,0.08650648589061079,0.08434510467729968,0.08052212585341394
3,0.8186174702495133,0.515743509673417,0.036557893401701215,0.0,5000,3157,1.0,6,0,1.0,1.0,1.0,1.0,0.3836067884073475,0.38299017332693663,0.01994648726115289,-0.008334756911153055,0.49987193779750705,0.4791043463107051,0.4974250814242174,0.5137227018070065,0.08321969036463156,0.0852189482621208,0.08587254860280186,0.08192621195702988
4,0.7516530702573627,0.642907492740258,0.04417242910440637,0.0,5000,3167,1.0,8,0,1.0,1.0,1.0,1.0,0.5014168432872235,0.5003691888715536,0.030081398516401812,-0.012019323081062188,0.49177076374752887,0.47498374990244036,0.5031787581110989,0.5143585146443326,0.08216127976861233,0.0852762787841046,0.0858907781929056,0.08275184563928277
5,0.6918520046844123,0.7555553580382528,0.04691530388990211,0.0,5000,3167,1.0,6,0,1.0,1.0,1.0,1.0,0.6322477475058597,0.6273574104068642,0.044056019665740555,-0.01007883213657417,0.49645501406196224,0.4758014133729251,0.5031439334994656,0.5048333782835804,0.08056038558118195,0.08540437150238572,0.08685277165390853,0.08528159452305406
6,0.6504492764549427,0.8303247569063719,0.04794587400453916,0.0,5000,3213,1.0,5,0,1.0,1.0,1.0,1.0,0.74466491514937,0.7618157856796403,0.024780897382364376,-0.02457461379622153,0.5017878780222217,0.4847532492868094,0.5078847575645993,0.48503925766270095,0.08388336472787815,0.08358594585822157,0.08696118451814015,0.08350441933627895
7,0.6288407060475116,0.8670202334172556,0.048612230619357905,0.0,5000,3138,1.0,6,0,1.0,1.0,1.0,1.0,0.8623857764283493,0.8798168228010383,0.034105318364078895,-0.03746237080345634,0.5157064773025657,0.4786825765734489,0.4937968554328534,0.4784230605970893,0.08227489295911539,0.08331961384034643,0.08522505019053839,0.08200885462495454
8,0.6104467495781806,0.897637735369497,0.04961637382055413,0.0,5000,3159,1.0,6,0,1.0,1.0,1.0,1.0,0.9772833463750199,1.011628377898004,0.03064997709110223,-0.04920121780717692,0.518499318513734,0.46079265499384336,0.49293341308775807,0.4861813167177053,0.08004939962030072,0.0807161444261473,0.08180716710318965,0.08149498186419712
9,0.6007456016691316,0.9162407489072444,0.048617063240831704,0.0,5000,3180,1.0,6,0,1.0,1.0,1.0,1.0,1.0904861286874818,1.1461502033929098,0.03620029974664699,-0.04013744145052497,0.5403022321107294,0.4552490716116369,0.4977672993658663,0.4897553659214273,0.0837228961147452,0.08191314316125196,0.0818903208114831,0.0783486201996268
10,0.5927402792400508,0.9315251932086712,0.047750176969842045,0.0,5000,3142,1.0,6,0,1.0,1.0,1.0,1.0,1.2002118260539338,1.2753392676462914,0.043913582285097404,-0.047795455772069215,0.5488211694832389,0.4606893254520959,0.5040990850094843,0.5053324113292532,0.08177221839981602,0.07795430922531618,0.08298276589445182,0.08111460953694144
11,0.5752597538728861,0.9656669543728118,0.04607028497535112,0.0,5000,3174,1.0,6,0,1.0,1.0,1.0,1.0,1.3456374663968487,1.4043213632523526,0.033809703557002135,-0.044415169230393056,0.5510699102093083,0.48089660312558463,0.5026942614113067,0.5448303123137191,0.08573665527288978,0.0768457307239099,0.07996904322380367,0.07868926343454716
12,0.5747601295310575,0.9727092404348356,0.04336075652998393,0.0,5000,3121,1.0,6,0,1.0,1.0,1.0,1.0,1.464511305518579,1.5342676776796675,0.030619141446561405,-0.052101620310363014,0.5578817396232851,0.4936363957549097,0.5037500004974895,0.5850493920267492,0.08119761584167474,0.07716296952490041,0.08227349735486027,0.07509829445286301
