generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,weights_variance_mean,weights_variance_std,lambdas_variance_mean,lambdas_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,mean_weight_0_mean,mean_weight_0_std,mean_weight_1_mean,mean_weight_1_std,mean_weight_2_mean,mean_weight_2_std,mean_weight_3_mean,mean_weight_3_std,alpha_0_mean,alpha_0_std,alpha_1_mean,alpha_1_std,alpha_2_mean,alpha_2_std,alpha_3_mean,alpha_3_std,mean_lambda_0_mean,mean_lambda_0_std,mean_lambda_1_mean,mean_lambda_1_std,mean_lambda_2_mean,mean_lambda_2_std,mean_lambda_3_mean,mean_lambda_3_std,lambda_variance_0_mean,lambda_variance_0_std,lambda_variance_1_mean,lambda_variance_1_std,lambda_variance_2_mean,lambda_variance_2_std,lambda_variance_3_mean,lambda_variance_3_std,extinct_count
16,0.5698262933256354,0.012982600334295878,0.9808749052398161,0.025568954130359905,0.04314115934281961,0.004734587579171142,0.0,0.0,0.05855448412054866,0.017607760011758265,5000.0,0.0,3163.775,19.553116759227926,1.0,0.0,6.425,0.8027297179001162,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0024212374298096,0.0405670554850359,2.00618713311084,0.027691383145091255,0.005367751356278784,0.038678346824132244,-0.005934655247306213,0.04294949595278594,0.5082277825838002,0.16318908068216167,0.5172984080858607,0.1511890776239899,0.46038981871653206,0.1314942429106422,0.4881851123099491,0.17726732959887745,0.06582192220239444,0.030712165414747594,0.06049067673814236,0.032841807205902886,0.05726435436554056,0.03155155229467969,0.05064098317611726,0.030728695241622497,0
17,0.5675485219554822,0.011535099453702223,0.9859936864080044,0.02269441633674163,0.04251213662269264,0.00472435072479467,0.0,0.0,0.05460593023413156,0.019444520147342922,5000.0,0.0,3160.55,23.848427621124205,1.0,0.0,6.275,0.5910795208768445,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.12395280114325,0.042284727095945704,2.1328142142184343,0.030454098888049962,0.0017927240951487616,0.04076847157639611,-0.0071270094275499045,0.046714292978815464,0.5063630389248621,0.17616383449436893,0.5175913439573459,0.16228152610325183,0.45705446090177426,0.1423095472526501,0.48472868693532567,0.19142694138921765,0.062165669470668136,0.033001284315653606,0.05599089256093041,0.03448587607269682,0.053846328940419005,0.03294771612306814,0.04642082996450871,0.029951642551800887,0
18,0.565451093228382,0.010978595950442644,0.9904137823783907,0.021752716456793345,0.042078225228669844,0.004263804643523796,0.0,0.0,0.050738309159226856,0.020687056796832998,5000.0,0.0,3159.475,25.505869422546645,1.0,0.0,6.275,0.6703543838895961,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2477997947739974,0.040314226842416145,2.2585215876190565,0.03198731311556403,0.0029909636428581583,0.038843321755409464,-0.006993509393193492,0.04609380608812328,0.5072744390428878,0.18952092047179897,0.5164504010326042,0.17101005844409803,0.4592371062276788,0.15439018018814937,0.483192341329649,0.20217221920551878,0.05867408448055424,0.03473605074144253,0.0521014178354884,0.03603773411762315,0.049876018311349433,0.0330033463020007,0.04230171600951541,0.027484177442609163,0
19,0.5639493641272366,0.011723463450914655,0.9940474182679353,0.02411212391264819,0.04153484235578416,0.004570144256068864,0.0,0.0,0.04731554889412231,0.021271350097146792,5000.0,0.0,3153.45,30.449096866738095,1.0,0.0,6.4,0.7681145747868608,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.3711778839226496,0.04124071651400542,2.3823996594932355,0.030005951747162606,0.0021121543447776554,0.040766077021036594,-0.004969636205874069,0.04579202780977923,0.5098946757989815,0.20238162362574924,0.5207557973007069,0.1806923132141522,0.45993617332318043,0.16225584929498732,0.48560088039389465,0.21086209669893155,0.05534192970203382,0.036212594853472925,0.04837895953088437,0.03620787495935551,0.04646518870013525,0.03325251983786475,0.039076117643435805,0.0270118789578483,0
20,0.5626973113651716,0.013837225350658603,0.9973949782923608,0.02841569982264352,0.040872943426713916,0.005061585911767455,0.0,0.0,0.04449404745316167,0.021757330709486444,5000.0,0.0,3163.65,24.24927833977745,1.0,0.0,6.4,0.6633249580710798,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.4943647763650256,0.04115516986255245,2.5091306165472718,0.032984398432885545,0.0026023862879218356,0.04277015106763657,-0.004742941819817119,0.04677274512135822,0.5118856787241475,0.2147314065298609,0.5239514672220846,0.18845520321788095,0.46177128511980836,0.16942746939117684,0.4856230293725913,0.21639089050563853,0.05254844771847793,0.03703917177589284,0.04511041522867469,0.03649327240988189,0.04382172038683109,0.032839036533537265,0.03649560647866297,0.0269278629579315,0
21,0.5615397776527034,0.014925435259784148,1.0010673149802645,0.030635801728235497,0.040001065840960214,0.005062898211721947,0.0,0.0,0.04148494809089929,0.02200024895839456,5000.0,0.0,3164.275,17.3925091634301,1.0,0.0,6.275,0.5471517157059822,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.6202475562860577,0.04329998925864224,2.6329137702738143,0.032931174543493716,-0.00039430874119989053,0.04395989996115755,-0.003809870819854419,0.05161248906015114,0.511928558295771,0.2273422109247756,0.5272336655091359,0.1936961542605943,0.46448502107349565,0.1777882935654515,0.4866124182739375,0.22341213320877182,0.04918729317248961,0.037098735312250386,0.041631588993445365,0.03632706084781995,0.040991079500592026,0.03267544884267403,0.03412983069707015,0.026334536285225776,0
22,0.560480297798604,0.014851378108611993,1.0048098878713188,0.03025067626993113,0.0390399682027988,0.0046964133773419285,0.0,0.0,0.03810141590113465,0.022008506087614586,5000.0,0.0,3166.225,21.071885890921106,1.0,0.0,6.45,0.7399324293474371,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.743585689168198,0.045602304937928696,2.7578082902208854,0.03342707559187656,0.0033008156119757577,0.044750613795027726,-0.008122698431052464,0.05085410387223675,0.5101269107304441,0.23818092648052175,0.53035856305279,0.2022540675523108,0.4651229884443818,0.18577652615664228,0.4852991292453086,0.2324994978939738,0.045844996031044985,0.0368444217392593,0.03757983929519865,0.035074102669743874,0.03818024573367505,0.0332682551349362,0.030800582544619926,0.025429382399089626,0
23,0.559694276397234,0.014211466065773934,1.0082352607671368,0.029216212711840623,0.03796965470915793,0.004690617469887232,0.0,0.0,0.035192984504960556,0.02254377802368198,5000.0,0.0,3160.85,20.568847804386127,1.0,0.0,6.425,0.6279928343540235,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.8672847750787938,0.04569472391131893,2.8854720894507144,0.036973401305789404,0.004093722570602842,0.04468703629340275,-0.009212177686089468,0.05106838267566772,0.5083578807891991,0.24487822778649723,0.5333467530251911,0.21020913165756863,0.46271261125433194,0.1911839726277513,0.48571344454558363,0.24016242802271331,0.04314734742553953,0.037278067381082934,0.03359219469511282,0.03319901194407039,0.03634250316474985,0.03502763558609763,0.02768989273444002,0.025811903057540296,0
24,0.5587233132494103,0.014089276058883852,1.0110687246382106,0.029503720461650368,0.03736223163136657,0.0047907026931909855,0.0,0.0,0.032333076287078016,0.022292870576820067,5000.0,0.0,3157.325,20.141235687017815,1.0,0.0,6.225,0.6118619125260208,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.990412618716976,0.04926203695127694,3.010691131135974,0.037663507992751005,0.005150582094269473,0.04826388180817919,-0.00930097081310372,0.051619790676518625,0.5093416037770172,0.24951759229627543,0.535995258754717,0.21663277599185438,0.45885315914509406,0.19729224879579732,0.4836004492895312,0.2467955784918465,0.040804291241181526,0.037898066143455596,0.03018369989723858,0.03191461757662794,0.03392780671023092,0.036805546206457235,0.024416507299661036,0.023774123660273563,0
25,0.5579754826896834,0.013975690271584596,1.0137118962444274,0.029008227947523793,0.03663227626073019,0.004677188231501907,0.0,0.0,0.029639308851150837,0.021941359742244794,5000.0,0.0,3154.575,21.18712757784783,1.0,0.0,6.325,0.6077622890571609,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.116716275770466,0.0492806182700972,3.134249622640252,0.03983653667667068,0.000830169341899619,0.049717193756528805,-0.006356122899837259,0.05353620415831557,0.5050430689550215,0.2557686131250356,0.5394096906112507,0.22268021008655822,0.4588070067361465,0.20400928211973474,0.482750632897843,0.25342548539157933,0.037812931328326395,0.03825251465534201,0.02769392002625829,0.03102562395521981,0.03123562406884133,0.03619508329745874,0.021814759981177333,0.023109119721791378,0
