generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9798992128469545,0.005454760551554786,0.010196768081254031,0.0,5000,3143,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4968298207264601,0.5033144140183162,0.5048283700166389,0.49718796652427955,0.08265497370012774,0.08367769217021749,0.07991733217299592,0.08402146690658514
1,0.9498754324982148,0.15908531172021678,0.019702396378074884,0.0,5000,3160,1.0,5,0,1.0,1.0,1.0,1.0,0.12026002316983947,0.11372911796688887,-0.00018159435191861004,-0.006391571692842514,0.4967557847146004,0.5043388949832917,0.5079115251390003,0.49529246443293234,0.08186229298052011,0.08358637703710817,0.07890408161513894,0.08433108113426405
2,0.8984666375864472,0.32234292222565103,0.02868846610141672,0.0,5000,3161,1.0,6,0,1.0,1.0,1.0,1.0,0.24218343919759439,0.2336876593083082,-0.0022113571032484226,0.007145545580128661,0.5005450756232069,0.49398037011741563,0.5075682831082552,0.49362298325965703,0.08262782394576433,0.08264564489124532,0.07843413551159774,0.08662225559775051
3,0.8321313517282584,0.48186361130583205,0.03657005820433033,0.0,5000,3169,1.0,6,0,1.0,1.0,1.0,1.0,0.3656237250961229,0.3620979565181925,0.008518429568335295,0.002503028416802334,0.49944787958703235,0.48324690243909063,0.5190816205707771,0.4913033481507478,0.08203898332425935,0.08461334360872755,0.07900740741062803,0.08669014263488886
4,0.7668105976882962,0.6131050932994827,0.04324537897311931,0.0,5000,3158,1.0,6,0,1.0,1.0,1.0,1.0,0.4988417306592907,0.4649286245256481,-0.005431191486983242,0.0015818644708660169,0.48990848738584425,0.4947497284257775,0.5227813606831622,0.4882950158680008,0.08331219996710675,0.08438582657543064,0.07716932980592674,0.08397251449543112
5,0.7080824724318042,0.7251070838622525,0.04671584735488345,0.0,5000,3158,1.0,7,0,1.0,1.0,1.0,1.0,0.640442806043547,0.5684953637955993,-0.00961502232450459,-0.010550605317243961,0.4875322143347553,0.49866687617972605,0.5280441654259114,0.48138420714168606,0.08416575864302712,0.0847069782613609,0.07663479233123632,0.08618404453363372
6,0.668400671181428,0.797714605261679,0.04782955320087404,0.0,5000,3109,1.0,7,0,1.0,1.0,1.0,1.0,0.7657790183988108,0.700342772630979,-0.005590103681610071,-0.008671001843486585,0.4785187192967014,0.49969717412483194,0.5181739175947342,0.4773180308780787,0.08416589726439128,0.08626806487911635,0.07568078060425068,0.0845487208704536
7,0.6432041204811382,0.839169824140508,0.04970746944660709,0.0,5000,3146,1.0,6,0,1.0,1.0,1.0,1.0,0.8945557768611131,0.8142836141988639,-0.006981527199776431,0.0017724196919001005,0.4627613612519811,0.4966582187313057,0.5007337974025057,0.46677458527080934,0.0848751406339372,0.08694712808333675,0.07446700908077539,0.08457043733764859
8,0.6212675836176788,0.8774512610290389,0.050206161810555185,0.0,5000,3130,1.0,7,0,1.0,1.0,1.0,1.0,1.00901511190604,0.9475811018116036,0.007309546377770017,0.005862918846296225,0.45935911936529594,0.48845969009591433,0.4967608405097283,0.45960047248662766,0.08249006345640858,0.08781859956126134,0.07382192621905878,0.08286623808163376
9,0.6089103412327987,0.8985093262583519,0.050772121493065814,0.0,5000,3160,1.0,6,0,1.0,1.0,1.0,1.0,1.1371038097190882,1.0786635929345487,0.01239069677133936,0.01127152214377395,0.43974713346315514,0.4965592466380324,0.48832592431235805,0.46833360672539964,0.0879644814681339,0.09363291146497754,0.0724503604278817,0.08206861272842025
