generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9931859908684961,0.003296402825102788,0.0034289975136859298,0.0,5000,3158,1.0,6,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5038837516400324,0.49674683529089586,0.508365723883956,0.4984382920151014,0.08557615653901834,0.08863640704558963,0.08644955379828706,0.08812497926688724
1,0.970062380595849,0.18668053983548408,0.0065886817568616305,0.0,5000,3170,1.0,6,0,1.0,1.0,1.0,1.0,0.14023761096496543,0.12195222830562577,0.010343370102696045,0.004665548806337337,0.5015558732978378,0.49686975465345196,0.5120081024180961,0.4976158066272278,0.0874173774968135,0.09095202452272338,0.0880587549925415,0.09353044986711156
2,0.9168039623552875,0.36927157444826747,0.009763577121995312,0.0,5000,3164,1.0,6,0,1.0,1.0,1.0,1.0,0.275324935393759,0.2509088506050826,0.02596284467918994,0.00839578062573443,0.5021825348820996,0.4994010057444054,0.5118441410172418,0.4991391769357012,0.09336737540641704,0.09570410516820066,0.09587901207840978,0.09435835140182657
3,0.8454077668099417,0.5345757547085065,0.013596083574255707,0.0,5000,3137,1.0,6,0,1.0,1.0,1.0,1.0,0.3942406788441003,0.3722678047488843,0.03329993234649194,0.008862561323996857,0.5065190201617216,0.49940024120900317,0.49333361972936457,0.49991887184593525,0.09417769132018429,0.09721693408916794,0.09561054842363877,0.09444829308945547
4,0.7559495488368929,0.7076655914235249,0.016777280326807205,0.0,5000,3155,1.0,6,0,1.0,1.0,1.0,1.0,0.5295027573356115,0.5010450934437425,0.047375126358136566,-0.0024864189687700943,0.5053827234928066,0.49197068341029687,0.4929283789202693,0.5030349364451522,0.09915239518762017,0.09702515484640656,0.09477091311660656,0.09163941396454951
5,0.6620210332015287,0.8743332688862586,0.01810111542081614,0.0,5000,3138,1.0,7,0,1.0,1.0,1.0,1.0,0.6564091911697193,0.6467887254976363,0.0419915664235235,0.011560276541785127,0.49305370512752517,0.4911355969690622,0.4953917041794804,0.5093221887135531,0.0993181926903422,0.09512304307255101,0.09480844343629821,0.09392664478548321
6,0.5972827983736468,0.9834662618966901,0.01896516112916316,0.0,5000,3194,1.0,6,0,1.0,1.0,1.0,1.0,0.7797703120225908,0.7716427055637546,0.029364162075453858,-5.291083979520536e-05,0.4972202209315701,0.4891168833622827,0.5077561499901714,0.524351953454669,0.10090436078835932,0.09693171943343182,0.09911606351798728,0.09310267457354002
7,0.572405181091832,1.0188440394508962,0.02206002667276581,0.0,5000,3134,1.0,7,0,1.0,1.0,1.0,1.0,0.9016823342600938,0.897244535639805,0.02363926715442246,0.005708697280559624,0.4195878270914788,0.3997469875222162,0.5305429240035575,0.5242073585809928,0.09961215290295293,0.08047395436963205,0.09497390153660164,0.0898452507259032
8,0.5656747944535554,1.0251751222704497,0.024636965068333662,0.0,5000,3142,1.0,6,0,1.0,1.0,1.0,1.0,1.0097744563712816,1.0133841642083052,0.013857708625033058,-0.008297230433270315,0.35602159251555565,0.3226718252879697,0.5481833222549194,0.49778072028337395,0.08421209106100824,0.06577468043996011,0.08510413503423586,0.09044754729939418
9,0.5651441763508168,1.0230925867564482,0.02592038783229215,0.0,5000,3178,1.0,7,0,1.0,1.0,1.0,1.0,1.113466719985328,1.1380962689212986,0.019611346969661197,-0.005070055196396658,0.2704237635720012,0.26485036200149886,0.5392098297076048,0.4847085304644118,0.0568409249312818,0.051827960281478624,0.08292192292602943,0.08985758376093311
