generation,mean_fitness,distance_from_optimum,phenotype_variance,weights_variance,population_size,n_parents,median_offspring,max_offspring,extinct,mean_weight_0,mean_weight_1,mean_weight_2,mean_weight_3,alpha_0,alpha_1,alpha_2,alpha_3,mean_lambda_0,mean_lambda_1,mean_lambda_2,mean_lambda_3,lambda_variance_0,lambda_variance_1,lambda_variance_2,lambda_variance_3
0,0.9933125607173886,0.0037920841856644723,0.0033640210635790275,0.0,5000,3155,1.0,8,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4954432706687986,0.5051209792837164,0.48232941251270595,0.4920222265154268,0.0866230171301432,0.09019465778610614,0.08851812854222764,0.09432885870945351
1,0.9705282285327381,0.1815574762307975,0.0068186839003445965,0.0,5000,3162,1.0,6,0,1.0,1.0,1.0,1.0,0.13144439546235256,0.12542615191868176,0.005967414035915757,0.011566587053938426,0.49180584359912155,0.4993691543711001,0.47671975933937194,0.49725263819122695,0.0881501064814807,0.08701532720444663,0.09331652228809646,0.09814758592277327
2,0.9180182339030598,0.36338116500379036,0.010175857181133646,0.0,5000,3135,1.0,8,0,1.0,1.0,1.0,1.0,0.2674342324119606,0.25639741835575436,0.011254648426681557,0.007129808848611125,0.4963829671677754,0.507990131968728,0.4681113797717556,0.5053634591846696,0.09157795207648468,0.08869161052155432,0.09232707435539637,0.10020371932685228
3,0.847341345949069,0.5326873261028181,0.012900301054349974,0.0,5000,3168,1.0,6,0,1.0,1.0,1.0,1.0,0.39048616997396407,0.38192681896862957,0.005550731958911935,0.007358179055110997,0.5076550176297449,0.508316783704651,0.4735127733740138,0.5092073633857055,0.09465762802028636,0.09069830526201587,0.0957618706753272,0.10094752329402377
4,0.765828572892909,0.6920099025869394,0.015611395119994431,0.0,5000,3151,1.0,6,0,1.0,1.0,1.0,1.0,0.5012523079640419,0.5113479323281411,0.002476477280218529,0.011484373263957808,0.5070751397466017,0.5122946913237414,0.4660802976445724,0.5071529038681535,0.09302586442368545,0.09515724328472812,0.09500086426240169,0.10048800207759447
5,0.6864135299669398,0.8318178515955024,0.017862255953290485,0.0,5000,3187,1.0,6,0,1.0,1.0,1.0,1.0,0.6031499425976473,0.6361002639516333,-0.008379424218076081,-0.009007739370460588,0.5079728184811523,0.5155250697629956,0.47454724896127265,0.5022041543368552,0.09348759597757397,0.09691631535138298,0.09690736604231666,0.10432492749261114
6,0.6093619288513479,0.9621303298417094,0.01947161864857421,0.0,5000,3164,1.0,6,0,1.0,1.0,1.0,1.0,0.7215780800022634,0.7677252243377477,-0.012757324338236009,-0.007133228650474584,0.5038277699665411,0.5276655994409333,0.47437977467763287,0.511790738346913,0.09763093700365785,0.09484323999756422,0.09872765666530611,0.10640460284092214
7,0.5815062504441224,1.0046469207954734,0.02247781689934824,0.0,5000,3149,1.0,6,0,1.0,1.0,1.0,1.0,0.8460732186941654,0.8823101864360692,-0.0130459316796507,-0.012012676604916953,0.434222330198287,0.4675495130103313,0.49752245411303775,0.5225625337262603,0.09789105588021209,0.0926465486421057,0.10031603923445231,0.10956069334347471
8,0.5871638066140127,0.9828955024842552,0.029105337318348034,0.0,5000,3188,1.0,7,0,1.0,1.0,1.0,1.0,0.9676255192614245,0.9787098479175543,-0.008769818084883139,-0.00038177161170351026,0.3043273400459248,0.38412468352076834,0.539976013987105,0.47801690086530646,0.0780621544517857,0.08190992433677632,0.09723812626274322,0.10932798717041328
9,0.5960321626920738,0.960608280950527,0.032628219619425705,0.0,5000,3164,1.0,8,0,1.0,1.0,1.0,1.0,1.0863363641292025,1.1100854838016199,-0.0036769386234105283,-0.02085680314157314,0.20595453518303333,0.29405872430620206,0.5894439055848809,0.38915297158610695,0.0386486809831499,0.05595178942791426,0.08533740870902011,0.10020123406811624
10,0.6018921572531127,0.9462490837007723,0.03507429642358918,0.0,5000,3165,1.0,7,0,1.0,1.0,1.0,1.0,1.2083892189700944,1.2356857509503127,-0.007925039497884666,-0.017952551325582662,0.17885069006637327,0.24466319954532165,0.6574552750851572,0.3107823431672308,0.026077442059673012,0.04252751064474104,0.06696877487776765,0.08136797351334897
11,0.6071890166140756,0.9397647435624461,0.03336142746586014,0.0,5000,3174,1.0,5,0,1.0,1.0,1.0,1.0,1.3172266627920093,1.3748658448811435,-0.014722102237694393,-0.019355917542826253,0.18741295893505705,0.2117102475310092,0.70201093224735,0.2355957274742407,0.02506270421330955,0.035321636362400745,0.0589875554624239,0.05572441379629689
12,0.6025990950580442,0.9488550598240797,0.03172239109586136,0.0,5000,3139,1.0,7,0,1.0,1.0,1.0,1.0,1.4432878595385368,1.4926246866218558,-0.013176417284512921,-0.010740653947472296,0.203723711828156,0.19266584316678376,0.7482410650664864,0.19250767010214984,0.02674573975908964,0.030806778084507914,0.047051188848681195,0.039674484479878105
13,0.5857644375920655,0.9835660878182981,0.02847399792226154,0.0,5000,3157,1.0,6,0,1.0,1.0,1.0,1.0,1.5628370221191015,1.6097747422735578,-0.017946925862179296,0.0034151916295881452,0.20894894931698763,0.19327079566382793,0.749965102284121,0.18586783819686775,0.029918701208460793,0.031092793744280978,0.04852396453976312,0.03407621216360458
14,0.5701738747752964,1.0134663199828295,0.026684490401141334,0.0,5000,3144,1.0,6,0,1.0,1.0,1.0,1.0,1.6916016667780478,1.7422528859941988,-0.017162390057838827,-0.004381125883735169,0.21498524238098662,0.17973176625166823,0.7450945157497072,0.18272135263942915,0.03166970406073963,0.03078738887601022,0.046855817948949885,0.03290899579569813
