generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,weights_variance_mean,weights_variance_std,lambdas_variance_mean,lambdas_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,mean_weight_0_mean,mean_weight_0_std,mean_weight_1_mean,mean_weight_1_std,mean_weight_2_mean,mean_weight_2_std,mean_weight_3_mean,mean_weight_3_std,alpha_0_mean,alpha_0_std,alpha_1_mean,alpha_1_std,alpha_2_mean,alpha_2_std,alpha_3_mean,alpha_3_std,mean_lambda_0_mean,mean_lambda_0_std,mean_lambda_1_mean,mean_lambda_1_std,mean_lambda_2_mean,mean_lambda_2_std,mean_lambda_3_mean,mean_lambda_3_std,lambda_variance_0_mean,lambda_variance_0_std,lambda_variance_1_mean,lambda_variance_1_std,lambda_variance_2_mean,lambda_variance_2_std,lambda_variance_3_mean,lambda_variance_3_std,extinct_count
10,0.5668175147522151,0.016393984978465975,1.0207482294665087,0.030408017902486692,0.02586094415446878,0.003933498612972216,0.0,0.0,0.06419815506095543,0.007633729344353561,5000.0,0.0,3163.35,18.30648792095305,1.0,0.0,6.425,0.7031180555212617,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2474191625742397,0.03405363492386538,1.2552760963328033,0.02914161985083349,-0.003607204890469623,0.02294678144761679,0.007650417344313996,0.025834709050324894,0.2247477288977245,0.04551956210228047,0.2188847728958807,0.03461249325411862,0.5134789011631502,0.08564621322178449,0.524208945008744,0.09575424592383697,0.041611551696503046,0.013582867961748003,0.03759731935936986,0.007491038601998164,0.08953603358480666,0.015308689563196212,0.08804771560314213,0.01650923209690293,0
11,0.56467456776731,0.01821555648412652,1.0280452090538852,0.032622334135457814,0.023819901959980284,0.003548480538440603,0.0,0.0,0.056666938596439995,0.008198589436436192,5000.0,0.0,3158.725,24.319732214808614,1.0,0.0,6.1,0.6244997998398398,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3722798499143896,0.035510560028015954,1.3805031854034802,0.028866363974214555,-0.002801116893997957,0.02650891527989892,0.0033092153517341434,0.025233693435958292,0.19543309846576887,0.047515892557001976,0.19242439176552,0.03699845768658658,0.517780705266869,0.12163361502062602,0.5208229980803629,0.12878309038997549,0.03158851605700176,0.010039386251086909,0.030722620191700033,0.007746360906350157,0.08447106371707665,0.02109998273725507,0.07988555441998155,0.018919688773608126,0
12,0.5605608610995815,0.01762185015683278,1.0366416158662837,0.03132638027127472,0.022765300442245433,0.003906160776466194,0.0,0.0,0.051948480306552705,0.008939514509094512,5000.0,0.0,3159.9,22.80548179714693,1.0,0.0,6.5,0.5477225575051661,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.4972676948877646,0.0376796491192686,1.5072507007522566,0.029958290708175874,-0.0018930336510712045,0.027878891508488244,0.0008193529070861128,0.024812688652635494,0.18291841221973795,0.04771281057037897,0.1771042647279828,0.03752846897470465,0.5299049270054891,0.1466404105087136,0.5293581809028292,0.151666055852544,0.02847650180181769,0.009071796349539151,0.02833745848863333,0.00895208863566023,0.07744895145459033,0.023871921588392315,0.0735310094811695,0.020623397647825052,0
13,0.5565668892455393,0.0164730215239758,1.045095921802869,0.028982263564496836,0.021729283377808835,0.004062055265331927,0.0,0.0,0.04868747811302226,0.009029312396730374,5000.0,0.0,3154.225,22.090142032137322,1.0,0.0,6.25,0.5809475019311126,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.6204598312916143,0.04122082583415672,1.6321918509657372,0.03113511036469801,-0.0012481870795595343,0.02900902499583161,5.8729312563132914e-05,0.027783692745002166,0.17626494077559712,0.04457531103060712,0.16864312745822585,0.0364350260614694,0.5371807780963005,0.16235465448723654,0.5415353802562773,0.16411044716814377,0.027908604808061722,0.009474852125160312,0.027107630400329437,0.008864678601996323,0.07067162908787951,0.021613875656474876,0.06906204815581836,0.021204444561529614,0
14,0.5517556000985454,0.014779713440266849,1.0539001387383546,0.026091507997312014,0.021243088170659293,0.004349939971080101,0.0,0.0,0.045848221794830134,0.009562802947843885,5000.0,0.0,3164.0,18.850729428857655,1.0,0.0,6.15,0.7599342076785331,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.7467629816143968,0.041115629484669895,1.7594412233907704,0.03358189469161463,-0.001965853460425636,0.02909578577636742,0.0005086653666470712,0.03173631789563646,0.16818361167558446,0.04007277219299866,0.16102147821885177,0.037544923887443855,0.5395955583048053,0.1708428582542358,0.5478294953052311,0.1714649024456383,0.026510529458223832,0.009774531492351744,0.02566287172106398,0.009159964732785226,0.06603405354807086,0.021770883193964755,0.0651854324519619,0.02263854443873024,0
15,0.5485127406625987,0.012383496689277955,1.0604408280534476,0.023117533466296563,0.020589184130927647,0.004375834636043209,0.0,0.0,0.044246192474432185,0.009972052152508262,5000.0,0.0,3156.375,20.67690438629535,1.0,0.0,6.25,0.5361902647381804,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8725611231023822,0.04049686356813487,1.8878327612068269,0.03353388404544399,-0.002394238220622411,0.031370498078848244,-0.00011841047797696066,0.03031553027146085,0.16127217247101872,0.03640653849589482,0.15383587801205517,0.03689884030964874,0.5355408429391327,0.17179266702281187,0.5499952537282425,0.1767081700011811,0.02504691153068266,0.008303012866672475,0.02417192532971276,0.009822011269468819,0.06497077108412733,0.022979588808286835,0.06279516195320599,0.023166625700159205,0
16,0.5467800981936883,0.011136980304343317,1.0636780423320382,0.021540774502244998,0.02036326813061869,0.004369391388189681,0.0,0.0,0.043295596259432315,0.010553830407802068,5000.0,0.0,3165.75,22.474151819367954,1.0,0.0,6.225,0.7241374178980119,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.9968417395433797,0.041917976014711415,2.012803585708949,0.03746737747352346,-0.001774720194391234,0.03312340538000206,0.0016345818783441944,0.032324044324088405,0.15402434380473157,0.03626739671742332,0.14539804418134447,0.027513813888015257,0.5288635447646624,0.1731803302294198,0.5461111670431272,0.18302428709121493,0.023397082955413838,0.008040277995738391,0.022275970172157256,0.00796042223324643,0.06588289599585753,0.024781169340280074,0.061626435914300615,0.020951460534811107,0
17,0.5460502459099091,0.01015396149177688,1.0649749575049456,0.02032001292840984,0.020325866446565692,0.00461416431138219,0.0,0.0,0.04309919213710685,0.010378542066300785,5000.0,0.0,3162.325,20.017976296319265,1.0,0.0,6.225,0.6887488656977956,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.1189115857415457,0.0422635309105352,2.1381551360856816,0.03685154040304681,-0.0018572396865125125,0.034006096440347196,0.0006371301496744618,0.03429108552007308,0.15029097968296606,0.033181887839165584,0.13898696608442243,0.018913997780928678,0.5221591298066635,0.17237388577008672,0.5492212852923023,0.18657907451104933,0.02297043275944613,0.008039442645219873,0.020591220515919894,0.004748930941392107,0.06830911662364472,0.025749882444200692,0.060525998649416636,0.020237452079706047,0
18,0.5457748354716008,0.010239197866161183,1.0648975685100392,0.02064052928994091,0.020579811238178765,0.004841104631883541,0.0,0.0,0.041920771862605996,0.009710087164273492,5000.0,0.0,3159.425,25.092715576437712,1.0,0.0,6.45,0.6689544080129826,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.2438356101021517,0.04240893931635338,2.2615920603643382,0.03521505773990689,-0.0019990623034051723,0.03602116775028658,-0.0005839490857335085,0.03653543800211356,0.14240978551190892,0.024322519624632284,0.13325875073646673,0.01934434897883669,0.5150715285122913,0.18070034536238658,0.5558017222110709,0.18930700384210175,0.021038512509280606,0.006174688706746122,0.019159253584812342,0.004012942499943931,0.0680993818564212,0.024072961361862183,0.05938593949990982,0.020234612834509384,0
19,0.5452265521379573,0.00946904273165361,1.0665160087571972,0.019600289189371727,0.020213094192717516,0.004401411679586134,0.0,0.0,0.04080275581422399,0.009437539049984997,5000.0,0.0,3156.85,22.061901549957113,1.0,0.0,6.275,0.7066647012551285,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.3691765201082085,0.0469060671273106,2.3885327426800322,0.036568782258807817,-0.0021761030966706216,0.03782366064587405,0.00021711097627794725,0.037324563555566424,0.13875046530496404,0.02062480692026367,0.12957779630840063,0.01779679192551733,0.5132828884157477,0.18978233095230182,0.5638423426248935,0.18876186692841154,0.019459104347301033,0.00417145267716707,0.01813964701318243,0.0039462525055606375,0.06695822411345248,0.023402883406084412,0.058654047782959996,0.02067310705691651,0
